category,model,metric,value
scenA_seed0,FE+AR,tau_mae_avg_over_cohorts,0.20990922781841076
scenA_seed0,GP-CP,tau_mae_avg_over_cohorts,0.09952531122183195
scenA_seed0,GP-CP-Extended,tau_mae_avg_over_cohorts,0.09797610199887126
scenA_seed0,FE+AR,tau_rmse_avg_over_cohorts,0.2142502581309433
scenA_seed0,GP-CP,tau_rmse_avg_over_cohorts,0.10135081512989078
scenA_seed0,GP-CP-Extended,tau_rmse_avg_over_cohorts,0.10040894401410963
scenA_seed0,FE+AR,tau_coverage_avg_over_cohorts,1.0
scenA_seed0,GP-CP,tau_coverage_avg_over_cohorts,1.0
scenA_seed0,GP-CP-Extended,tau_coverage_avg_over_cohorts,1.0
scenA_seed0,FE+AR,tau_ci_width_avg_over_cohorts,1.1186807604771916
scenA_seed0,GP-CP,tau_ci_width_avg_over_cohorts,0.9603364125640902
scenA_seed0,GP-CP-Extended,tau_ci_width_avg_over_cohorts,1.0287689125532178
scenA_seed0,FE+AR,tau_ci_width_std_over_cohorts,1.230703503119893
scenA_seed0,GP-CP,tau_ci_width_std_over_cohorts,1.1220991512375331
scenA_seed0,GP-CP-Extended,tau_ci_width_std_over_cohorts,1.0778043666912973
scenA_seed0,FE+AR,att_avg_over_t,-0.7584902649522223
scenA_seed0,GP-CP,att_avg_over_t,0.01034055807391292
scenA_seed0,GP-CP-Extended,att_avg_over_t,0.010426035890207675
scenA_seed0,FE+AR,att_mae_vs_zero,0.7584902649522223
scenA_seed0,GP-CP,att_mae_vs_zero,0.01034055807391292
scenA_seed0,GP-CP-Extended,att_mae_vs_zero,0.010426035890207675
scenA_seed0,FE+AR,att_rmse_vs_zero,0.7584902649522223
scenA_seed0,GP-CP,att_rmse_vs_zero,0.01034055807391292
scenA_seed0,GP-CP-Extended,att_rmse_vs_zero,0.010426035890207675
scenA_seed0,FE+AR,att_coverage_vs_zero,0.0
scenA_seed0,GP-CP,att_coverage_vs_zero,1.0
scenA_seed0,GP-CP-Extended,att_coverage_vs_zero,1.0
scenA_seed0,FE+AR,att_ci_width_avg_over_t,0.7144158941735762
scenA_seed0,GP-CP,att_ci_width_avg_over_t,0.6328666353348087
scenA_seed0,GP-CP-Extended,att_ci_width_avg_over_t,0.6313124084026283
