model,period,mean,lo95,hi95,truth
FE+AR,45,-0.43793821918886544,-1.4428360603065917,0.5669596219288608,-0.7865457124408038
FE+AR,46,-0.32485563834300474,-1.6264216149019268,0.9767103382159172,-1.3093878806913137
FE+AR,47,-0.2317700233100567,-1.7006897165127914,1.2371496698926778,-2.0126088697294673
FE+AR,48,-0.155145209291414,-1.7273714230809942,1.417081004498166,-2.4287428860138975
FE+AR,49,-0.09207034942919591,-1.7305993102321078,1.546458611373716,-1.9050703928317343
FE+AR,50,-0.04014933666601314,-1.722120213492586,1.6418215401605598,-0.75191465884878
FE+AR,51,0.0025902203023784737,-1.7081900523436948,1.7133704929484517,0.2944575686267583
FE+AR,52,0.03777192483087113,-1.692256954296388,1.7678008039581303,0.9137339463805387
FE+AR,53,0.06673227026555942,-1.6762186566319839,1.8096831971631029,0.861596467067408
FE+AR,54,0.09057141106151576,-1.6610813217922056,1.842224143915237,0.25289137675037787
FE+AR,55,0.1101949557865287,-1.647329637564746,1.8677195491378034,-0.16136680065401474
FE+AR,56,0.12634836965620566,-1.635143874299139,1.8878406136115506,-0.06695507071083603
FE+AR,57,0.13964529349445987,-1.624530360782127,1.9038209477710468,0.06389729886239101
FE+AR,58,0.150590854908709,-1.615400762071619,1.916582471889037,-0.06399723178866223
FE+AR,59,0.15960085723183498,-1.6076201963871761,1.9268219108508462,-0.36342201442220756
GP-CP,45,-0.74726086661869,-1.2067047344900863,-0.28781699874729366,-0.7865457124408038
GP-CP,46,-1.0839506328412638,-2.0943717354683176,-0.07352953021421005,-1.3093878806913137
GP-CP,47,-1.1512149266592817,-2.6538607676727244,0.35143091435416096,-2.0126088697294673
GP-CP,48,-0.9659969879271817,-2.7162926096833777,0.7842986338290145,-2.4287428860138975
GP-CP,49,-0.6985110650424544,-2.4706937185468747,1.0736715884619659,-1.9050703928317343
GP-CP,50,-0.48437882731647275,-2.189475357826418,1.2207177031934724,-0.75191465884878
GP-CP,51,-0.36026303416418487,-2.009219770370826,1.2886937020424563,0.2944575686267583
GP-CP,52,-0.30349487218593096,-1.9279393764805834,1.3209496321087215,0.9137339463805387
GP-CP,53,-0.2817971740154278,-1.902829201654681,1.3392348536238257,0.861596467067408
GP-CP,54,-0.27367705973479173,-1.9071190197598589,1.3597649002902754,0.25289137675037787
GP-CP,55,-0.2681254937935718,-1.9361664785142487,1.3999154909271052,-0.16136680065401474
GP-CP,56,-0.25926709298796546,-1.9970915824285944,1.4785573964526635,-0.06695507071083603
GP-CP,57,-0.24314232208888165,-2.0943510035129975,1.6080663593352345,0.06389729886239101
GP-CP,58,-0.2176207292996446,-2.216625280105485,1.7813838215061961,-0.06399723178866223
GP-CP,59,-0.1838612430621716,-2.3370964816606414,1.9693739955362983,-0.36342201442220756
GP-CP-Extended,45,-0.8105328197640749,-1.2455287533338641,-0.3755368861942856,-0.7865457124408038
GP-CP-Extended,46,-1.1774258808514495,-2.1769047041628764,-0.1779470575400226,-1.3093878806913137
GP-CP-Extended,47,-1.2241756832445285,-2.7335846733248053,0.285233306835748,-2.0126088697294673
GP-CP-Extended,48,-0.9942623448022688,-2.75330849022157,0.7647838006170323,-2.4287428860138975
GP-CP-Extended,49,-0.6912865146854055,-2.4635968472739043,1.081023817903093,-1.9050703928317343
GP-CP-Extended,50,-0.46054139188165266,-2.1612858521123366,1.2402030683490315,-0.75191465884878
GP-CP-Extended,51,-0.3319398292900805,-1.978532302898699,1.3146526443185378,0.2944575686267583
GP-CP-Extended,52,-0.27498930724886095,-1.9001376705687625,1.3501590560710406,0.9137339463805387
GP-CP-Extended,53,-0.253846977090906,-1.8769276824374659,1.369233728255654,0.861596467067408
GP-CP-Extended,54,-0.24633244738751225,-1.881258822705505,1.3885939279304806,0.25289137675037787
GP-CP-Extended,55,-0.24167511184337387,-1.9088676993482023,1.4255174756614544,-0.16136680065401474
GP-CP-Extended,56,-0.23429292397056378,-1.9674345167749374,1.4988486688338098,-0.06695507071083603
GP-CP-Extended,57,-0.22029747230104602,-2.062468259966958,1.621873315364866,0.06389729886239101
GP-CP-Extended,58,-0.19736710211839814,-2.1837395412414575,1.789005337004661,-0.06399723178866223
GP-CP-Extended,59,-0.166379474109403,-2.3045148365898878,1.971755888371082,-0.36342201442220756
