model,effect_type,metric,value
FE+AR,alpha,Bias,-1.5265566588595902e-16
FE+AR,alpha,RMSE,0.03981485775140394
FE+AR,alpha,Coverage,0.9
FE+AR,alpha,CI_Width,0.14593895091588868
FE+AR,beta,Bias,-7.817820465068811e-17
FE+AR,beta,RMSE,0.06872729236676067
FE+AR,beta,Coverage,0.9333333333333333
FE+AR,beta,CI_Width,0.2571700713404084
GP-CP,alpha,Bias,-1.9984014443252818e-16
GP-CP,alpha,RMSE,0.03366073286900152
GP-CP,alpha,Coverage,0.95
GP-CP,alpha,CI_Width,0.12358291994998241
GP-CP,beta,Bias,-3.23815048849004e-17
GP-CP,beta,RMSE,0.05551079279566193
GP-CP,beta,Coverage,0.9333333333333333
GP-CP,beta,CI_Width,0.2037939312979912
GP-CP-Extended,alpha,Bias,-1.249000902703301e-16
GP-CP-Extended,alpha,RMSE,0.03357048820912183
GP-CP-Extended,alpha,Coverage,0.95
GP-CP-Extended,alpha,CI_Width,0.10852417201500156
GP-CP-Extended,beta,Bias,-1.0986582014519779e-16
GP-CP-Extended,beta,RMSE,0.05675109505439008
GP-CP-Extended,beta,Coverage,0.8833333333333333
GP-CP-Extended,beta,CI_Width,0.17858429096111192
FE+AR,gamma,Bias,
FE+AR,gamma,RMSE,
FE+AR,gamma,Coverage,
GP-CP,gamma,Bias,
GP-CP,gamma,RMSE,
GP-CP,gamma,Coverage,
