model,cohort,period,y_true,y_hat,resid
FE+AR,0,45,-0.16858043101951556,-0.770974544120982,-0.6023941131014664
FE+AR,0,46,-0.5530087159108957,-0.7313744451037832,-0.1783657291928875
FE+AR,0,47,-0.20068040823482722,-0.6952164973324577,-0.49453608909763047
FE+AR,0,48,0.012956202726786575,-0.6622014994036372,-0.6751577021304237
FE+AR,0,49,-0.6286913414394167,-0.6320562573358774,-0.0033649158964607073
FE+AR,0,50,-0.4933542738240929,-0.6045313239318819,-0.111177050107789
FE+AR,0,51,-1.0340616977262422,-0.5793989346416775,0.45466276308456477
FE+AR,0,52,-1.0911131664003868,-0.5564511228463291,0.5346620435540577
FE+AR,0,53,-2.5071190697337045,-0.535497998966461,1.9716210707672435
FE+AR,0,54,-2.2531078051227924,-0.5163661791554716,1.736741625967321
FE+AR,0,55,-1.5955718059602735,-0.49889735057512574,1.0966744553851477
FE+AR,0,56,-0.28118102244744064,-0.48294696138140025,-0.2017659389339596
FE+AR,0,57,0.2032542250985042,-0.46838302458042014,-0.6716372496789244
FE+AR,0,58,0.4939132379896486,-0.4550850258565781,-0.9489982638462267
FE+AR,0,59,0.5427773011103368,-0.4429429263352864,-0.9857202274456233
FE+AR,1,45,-0.14873391382213091,-0.6886456571971258,-0.5399117433749949
FE+AR,1,46,-0.03309344021482662,-0.649045558179927,-0.6159521179651004
FE+AR,1,47,0.16951392769828005,-0.6128876104086015,-0.7824015381068816
FE+AR,1,48,0.36096876209870504,-0.5798726124797811,-0.940841374578486
FE+AR,1,49,-0.46895036126056666,-0.5497273704120212,-0.08077700915145458
FE+AR,1,50,-0.5669432786831488,-0.5222024370080258,0.04474084167512293
FE+AR,1,51,-0.9296775470461685,-0.49707004771782126,0.4326074993283472
FE+AR,1,52,-1.6865372047062819,-0.474122235922473,1.2124149687838088
FE+AR,1,53,-2.5855656327439736,-0.4531691120426048,2.1323965207013686
FE+AR,1,54,-2.4471204406693965,-0.43403729223161536,2.013083148437781
FE+AR,1,55,-1.7005661998948596,-0.41656846365126954,1.28399773624359
FE+AR,1,56,-0.03593644412401331,-0.40061807445754405,-0.36468163033353074
FE+AR,1,57,-0.14576469928888144,-0.38605413765656393,-0.2402894383676825
FE+AR,1,58,0.012606482893858073,-0.3727561389327219,-0.38536262182658
FE+AR,1,59,0.4943419912661006,-0.3606140394114302,-0.8549560306775308
FE+AR,2,45,-0.017114691965868137,-0.42353504952002824,-0.4064203575541601
FE+AR,2,46,0.3412530801676003,-0.3839349505028295,-0.7251880306704298
FE+AR,2,47,0.2918773170116247,-0.34777700273150397,-0.6396543197431287
FE+AR,2,48,0.21812127569764278,-0.31476200480268346,-0.5328832805003263
FE+AR,2,49,-0.02156118711914584,-0.2846167627349237,-0.26305557561577786
FE+AR,2,50,-0.1347681346597417,-0.2570918293309282,-0.12232369467118653
FE+AR,2,51,-0.583486976752283,-0.23195944004072375,0.35152753671155923
FE+AR,2,52,-1.2000976257018772,-0.20901162824537545,0.9910859974565017
FE+AR,2,53,-1.9251349420456862,-0.18805850436550728,1.737076437680179
FE+AR,2,54,-2.0800063805099476,-0.16892668455451781,1.9110796959554297
FE+AR,2,55,-1.2410969854695553,-0.15145785597417197,1.0896391294953833
FE+AR,2,56,-0.3024617776141239,-0.13550746678044653,0.16695431083367737
FE+AR,2,57,0.5294392436293934,-0.12094352997946638,-0.6503827736088598
FE+AR,2,58,1.0198581551312669,-0.10764553125562436,-1.1275036863868912
FE+AR,2,59,0.5739010258204642,-0.09550343173433265,-0.6694044575547968
FE+AR,3,45,0.06629780103547864,-0.14877220875523894,-0.21507000979071758
FE+AR,3,46,0.7039484469607986,-0.1091721097380402,-0.8131205566988389
FE+AR,3,47,0.21987368702342208,-0.07301416196671467,-0.29288784899013676
FE+AR,3,48,0.48320533018974526,-0.039999164037894164,-0.5232044942276395
FE+AR,3,49,0.6345613014865483,-0.009853921970134405,-0.6444152234566827
FE+AR,3,50,0.18365941012950038,0.017671011433861072,-0.1659883986956393
FE+AR,3,51,-0.11072831621918555,0.04280340072406555,0.1535317169432511
FE+AR,3,52,-1.1606657999297532,0.06575121251941385,1.2264170124491671
FE+AR,3,53,-1.765509900613915,0.08670433639928202,1.852214237013197
FE+AR,3,54,-1.8926118018122957,0.10583615621027148,1.9984479580225671
FE+AR,3,55,-0.9958831310237566,0.12330498479061733,1.119188115814374
FE+AR,3,56,-0.147977779498192,0.13925537398434276,0.28723315348253475
FE+AR,3,57,1.1872303563080535,0.1538193107853229,-1.0334110455227306
FE+AR,3,58,1.2030321017116523,0.16711730950916492,-1.0359147922024874
FE+AR,3,59,1.2825061201267371,0.17925940903045665,-1.1032467110962805
FE+AR,4,45,-0.2426811568391133,-0.5190188178662153,-0.276337661027102
FE+AR,4,46,0.6133843960494061,-0.47941871884901655,-1.0928031148984227
FE+AR,4,47,0.4758622542533465,-0.443260771077691,-0.9191230253310375
FE+AR,4,48,-0.03318782808438786,-0.4102457731488705,-0.37705794506448265
FE+AR,4,49,0.1241422044954939,-0.38010053108111075,-0.5042427355766046
FE+AR,4,50,0.15051807656707306,-0.35257559767711527,-0.5030936742441883
FE+AR,4,51,-0.22723386432687187,-0.3274432083869108,-0.10020934406003895
FE+AR,4,52,-1.2318500900656297,-0.3044953965915625,0.9273546934740673
FE+AR,4,53,-2.724716476188548,-0.28354227271169435,2.4411742034768538
FE+AR,4,54,-2.779557967519752,-0.26441045290070486,2.515147514619047
FE+AR,4,55,-1.131447546439889,-0.24694162432035904,0.8845059221195299
FE+AR,4,56,-0.39514559961066564,-0.2309912351266336,0.16415436448403203
FE+AR,4,57,0.1636261498430591,-0.21642729832565344,-0.38005344816871256
FE+AR,4,58,0.555992871504172,-0.20312929960181142,-0.7591221711059835
FE+AR,4,59,-0.09707427405767965,-0.19098720008051973,-0.09391292602284007
FE+AR,5,45,-0.8560622533789284,-1.1027607843183396,-0.2466985309394112
FE+AR,5,46,-0.2229169116856325,-1.0631606853011408,-0.8402437736155084
FE+AR,5,47,-1.0685428284825325,-1.0270027375298154,0.041540090952717046
FE+AR,5,48,-0.7006143566859178,-0.9939877396009948,-0.2933733829150771
FE+AR,5,49,-0.18361086356620598,-0.9638424975332351,-0.7802316339670292
FE+AR,5,50,-0.9821945013491425,-0.9363175641292396,0.045876937219902936
FE+AR,5,51,-1.0570639807387718,-0.9111851748390352,0.14587880589973667
FE+AR,5,52,-2.3146397967019525,-0.8882373630436868,1.4264024336582657
FE+AR,5,53,-2.6870280507471995,-0.8672842391638187,1.8197438115833808
FE+AR,5,54,-2.323760971395507,-0.8481524193528291,1.475608552042678
FE+AR,5,55,-1.9163794210415857,-0.8306835907724833,1.0856958302691022
FE+AR,5,56,-1.2552353642770815,-0.814733201578758,0.44050216269832354
FE+AR,5,57,-0.2678286260286826,-0.8001692647777777,-0.5323406387490951
FE+AR,5,58,0.24249226276665925,-0.7868712660539358,-1.029363528820595
FE+AR,5,59,0.5042548748332177,-0.774729166532644,-1.2789840413658617
FE+AR,6,45,-1.0019082218765893,-1.5564304283225192,-0.5545222064459299
FE+AR,6,46,-1.1923608068216023,-1.5168303293053205,-0.3244695224837182
FE+AR,6,47,-0.4373082056653423,-1.480672381533995,-1.0433641758686527
FE+AR,6,48,-0.8312364631295437,-1.4476573836051745,-0.6164209204756308
FE+AR,6,49,-0.6724538771836583,-1.4175121415374148,-0.7450582643537564
FE+AR,6,50,-0.8751025845717342,-1.3899872081334192,-0.5148846235616851
FE+AR,6,51,-2.3939947091642084,-1.3648548188432148,1.0291398903209936
FE+AR,6,52,-2.878518780693856,-1.3419070070478665,1.5366117736459894
