model,metric,value
FE+AR,MAE,1.127580166651222
FE+AR,MAPE,1221.0256115975762
FE+AR,RMSE,1.3143845368894806
FE+AR,Coverage,0.8666666666666667
FE+AR,CI_Width,3.9891903483023863
GP-CP,MAE,0.5342552274668348
GP-CP,MAPE,312.2586228983377
GP-CP,RMSE,0.6698050180488031
GP-CP,Coverage,1.0
GP-CP,CI_Width,3.2420667838717394
GP-CP-Extended,MAE,0.5341446060443237
GP-CP-Extended,MAPE,311.9079435442658
GP-CP-Extended,RMSE,0.6697507528540707
GP-CP-Extended,Coverage,1.0
GP-CP-Extended,CI_Width,3.212279799645809
