model,effect_type,metric,value,task
FE+AR,alpha,Bias,1.0547118733938988e-16,fit
FE+AR,alpha,RMSE,0.0315712739184261,fit
FE+AR,alpha,Coverage,1.0,fit
FE+AR,alpha,CI_Width,0.1516598312363051,fit
FE+AR,beta,Bias,2.405483220021173e-17,fit
FE+AR,beta,RMSE,0.0552803424727947,fit
FE+AR,beta,Coverage,0.9833333333333332,fit
FE+AR,beta,CI_Width,0.2672512675590886,fit
GP-CP,alpha,Bias,4.7184478546569146e-17,fit
GP-CP,alpha,RMSE,0.026673407100346,fit
GP-CP,alpha,Coverage,1.0,fit
GP-CP,alpha,CI_Width,0.1273751315709193,fit
GP-CP,beta,Bias,5.597374415818496e-17,fit
GP-CP,beta,RMSE,0.0461784389773966,fit
GP-CP,beta,Coverage,0.9833333333333332,fit
GP-CP,beta,CI_Width,0.2026010586050883,fit
GP-CP-Extended,alpha,Bias,1.1518563880486e-16,fit
GP-CP-Extended,alpha,RMSE,0.0271579797887972,fit
GP-CP-Extended,alpha,Coverage,1.0,fit
GP-CP-Extended,alpha,CI_Width,0.1036426214595229,fit
GP-CP-Extended,beta,Bias,8.419191270074102e-17,fit
GP-CP-Extended,beta,RMSE,0.045260807015455,fit
GP-CP-Extended,beta,Coverage,0.9666666666666668,fit
GP-CP-Extended,beta,CI_Width,0.1663863089511756,fit
FE+AR,gamma,Bias,,fit
FE+AR,gamma,RMSE,,fit
FE+AR,gamma,Coverage,,fit
GP-CP,gamma,Bias,,fit
GP-CP,gamma,RMSE,,fit
GP-CP,gamma,Coverage,,fit
FE+AR,beta,MAE,1.127580166651222,extrapolation
FE+AR,beta,MAPE,1221.0256115975762,extrapolation
FE+AR,beta,RMSE,1.3143845368894806,extrapolation
FE+AR,beta,Coverage,0.8666666666666667,extrapolation
FE+AR,beta,CI_Width,3.9891903483023863,extrapolation
GP-CP,beta,MAE,0.5342552274668348,extrapolation
GP-CP,beta,MAPE,312.2586228983377,extrapolation
GP-CP,beta,RMSE,0.6698050180488031,extrapolation
GP-CP,beta,Coverage,1.0,extrapolation
GP-CP,beta,CI_Width,3.2420667838717394,extrapolation
GP-CP-Extended,beta,MAE,0.5341446060443237,extrapolation
GP-CP-Extended,beta,MAPE,311.9079435442658,extrapolation
GP-CP-Extended,beta,RMSE,0.6697507528540707,extrapolation
GP-CP-Extended,beta,Coverage,1.0,extrapolation
GP-CP-Extended,beta,CI_Width,3.212279799645809,extrapolation
