model,effect_type,metric,value
FE+AR,alpha,Bias,7.216449660063518e-17
FE+AR,alpha,RMSE,0.03103643647118046
FE+AR,alpha,Coverage,1.0
FE+AR,alpha,CI_Width,0.4550367252826045
FE+AR,beta,Bias,8.789265611615822e-18
FE+AR,beta,RMSE,0.060099208858228004
FE+AR,beta,Coverage,1.0
FE+AR,beta,CI_Width,0.801854654765047
FE+AR,gamma,Bias,4.440892098500626e-18
FE+AR,gamma,RMSE,0.8511646877589863
FE+AR,gamma,Coverage,0.0
FE+AR,gamma,CI_Width,
GP-CP,alpha,Bias,2.0122792321330962e-16
GP-CP,alpha,RMSE,0.04430012602200619
GP-CP,alpha,Coverage,1.0
GP-CP,alpha,CI_Width,0.34981546155820975
GP-CP,beta,Bias,-7.632783294297951e-17
GP-CP,beta,RMSE,0.06471656437929137
GP-CP,beta,Coverage,1.0
GP-CP,beta,CI_Width,0.5171742283970633
GP-CP,gamma,Bias,4.440892098500626e-18
GP-CP,gamma,RMSE,0.8511646877589863
GP-CP,gamma,Coverage,0.0
GP-CP,gamma,CI_Width,
GP-CP-Extended,alpha,Bias,1.0130785099704553e-16
GP-CP-Extended,alpha,RMSE,0.029484131253205394
GP-CP-Extended,alpha,Coverage,0.95
GP-CP-Extended,alpha,CI_Width,0.12078267798355305
GP-CP-Extended,beta,Bias,-5.042262903505919e-17
GP-CP-Extended,beta,RMSE,0.037769507516572584
GP-CP-Extended,beta,Coverage,1.0
GP-CP-Extended,beta,CI_Width,0.2011071025800923
GP-CP-Extended,gamma,Bias,-3.173387478720239e-17
GP-CP-Extended,gamma,RMSE,0.17542074845219277
GP-CP-Extended,gamma,Coverage,0.9466666666666667
GP-CP-Extended,gamma,CI_Width,0.6742419675540134
FE+AR,gamma,Bias,
FE+AR,gamma,RMSE,
FE+AR,gamma,Coverage,
GP-CP,gamma,Bias,
GP-CP,gamma,RMSE,
GP-CP,gamma,Coverage,
