model,effect_type,metric,value,task
FE+AR,alpha,Bias,-9.15933995315754e-17,fit
FE+AR,alpha,RMSE,0.0292408274642676,fit
FE+AR,alpha,Coverage,1.0,fit
FE+AR,alpha,CI_Width,0.4464778513025892,fit
FE+AR,beta,Bias,-7.563394355258879e-17,fit
FE+AR,beta,RMSE,0.0693139933146282,fit
FE+AR,beta,Coverage,1.0,fit
FE+AR,beta,CI_Width,0.786772415114698,fit
FE+AR,gamma,Bias,1.9613940101711102e-17,fit
FE+AR,gamma,RMSE,0.830846436865696,fit
FE+AR,gamma,Coverage,0.0,fit
FE+AR,gamma,CI_Width,,fit
GP-CP,alpha,Bias,-1.4710455076283324e-16,fit
GP-CP,alpha,RMSE,0.0393997287462911,fit
GP-CP,alpha,Coverage,1.0,fit
GP-CP,alpha,CI_Width,0.3286797266789527,fit
GP-CP,beta,Bias,-6.383782391594651e-17,fit
GP-CP,beta,RMSE,0.0943602427997057,fit
GP-CP,beta,Coverage,1.0,fit
GP-CP,beta,CI_Width,0.5086072785077713,fit
GP-CP,gamma,Bias,1.9613940101711102e-17,fit
GP-CP,gamma,RMSE,0.830846436865696,fit
GP-CP,gamma,Coverage,0.0,fit
GP-CP,gamma,CI_Width,,fit
GP-CP-Extended,alpha,Bias,-1.637578961322106e-16,fit
GP-CP-Extended,alpha,RMSE,0.0228847781055281,fit
GP-CP-Extended,alpha,Coverage,1.0,fit
GP-CP-Extended,alpha,CI_Width,0.1279418515437265,fit
GP-CP-Extended,beta,Bias,-8.025987282186026e-17,fit
GP-CP-Extended,beta,RMSE,0.0518521259816672,fit
GP-CP-Extended,beta,Coverage,0.95,fit
GP-CP-Extended,beta,CI_Width,0.2054256798577011,fit
GP-CP-Extended,gamma,Bias,3.1410059738353385e-17,fit
GP-CP-Extended,gamma,RMSE,0.1641787886309262,fit
GP-CP-Extended,gamma,Coverage,0.9683333333333334,fit
GP-CP-Extended,gamma,CI_Width,0.6962386147039026,fit
FE+AR,gamma,Bias,,fit
FE+AR,gamma,RMSE,,fit
FE+AR,gamma,Coverage,,fit
GP-CP,gamma,Bias,,fit
GP-CP,gamma,RMSE,,fit
GP-CP,gamma,Coverage,,fit
FE+AR,beta,MAE,0.8901927003910616,extrapolation
FE+AR,beta,MAPE,202.5636831040027,extrapolation
FE+AR,beta,RMSE,1.0578998695640365,extrapolation
FE+AR,beta,Coverage,0.7333333333333333,extrapolation
FE+AR,beta,CI_Width,2.7058677390733927,extrapolation
GP-CP,beta,MAE,0.4798853746992288,extrapolation
GP-CP,beta,MAPE,156.7933741362282,extrapolation
GP-CP,beta,RMSE,0.5250249898269492,extrapolation
GP-CP,beta,Coverage,1.0,extrapolation
GP-CP,beta,CI_Width,2.2828625440956483,extrapolation
GP-CP-Extended,beta,MAE,0.4890221958651806,extrapolation
GP-CP-Extended,beta,MAPE,157.00347640655374,extrapolation
GP-CP-Extended,beta,RMSE,0.5405966603730262,extrapolation
GP-CP-Extended,beta,Coverage,0.9333333333333332,extrapolation
GP-CP-Extended,beta,CI_Width,2.2096124396885655,extrapolation
FE+AR,y,Bias,-0.8481200981799001,extrapolation_y
FE+AR,y,MAE,1.1119736183022657,extrapolation_y
FE+AR,y,RMSE,1.3869235674142752,extrapolation_y
GP-CP,y,Bias,-0.0625807964351537,extrapolation_y
GP-CP,y,MAE,0.8303466481218873,extrapolation_y
GP-CP,y,RMSE,1.020756505222743,extrapolation_y
GP-CP-Extended,y,Bias,-0.0399728933948655,extrapolation_y
GP-CP-Extended,y,MAE,0.8136220461887899,extrapolation_y
GP-CP-Extended,y,RMSE,0.9998979382792782,extrapolation_y
FE+AR,tau_att,tau_mae_avg_over_cohorts,0.3042313591598756,placebo_te
GP-CP,tau_att,tau_mae_avg_over_cohorts,0.1606396378521412,placebo_te
GP-CP-Extended,tau_att,tau_mae_avg_over_cohorts,0.1985590704320095,placebo_te
FE+AR,tau_att,tau_rmse_avg_over_cohorts,0.3214978247215704,placebo_te
GP-CP,tau_att,tau_rmse_avg_over_cohorts,0.1739405805174315,placebo_te
GP-CP-Extended,tau_att,tau_rmse_avg_over_cohorts,0.2421563700038611,placebo_te
FE+AR,tau_att,tau_coverage_avg_over_cohorts,0.94,placebo_te
GP-CP,tau_att,tau_coverage_avg_over_cohorts,1.0,placebo_te
GP-CP-Extended,tau_att,tau_coverage_avg_over_cohorts,0.9925000000000002,placebo_te
