model,metric,value
FE+AR,MAE,0.785345099252902
FE+AR,MAPE,307.88308946081963
FE+AR,RMSE,0.9197439638733083
FE+AR,Coverage,1.0
FE+AR,CI_Width,3.351152899008378
GP-CP,MAE,0.6749139384248743
GP-CP,MAPE,199.35637684569625
GP-CP,RMSE,0.8131830171203344
GP-CP,Coverage,0.8666666666666667
GP-CP,CI_Width,2.8149345566134127
GP-CP-Extended,MAE,0.7253530904392124
GP-CP-Extended,MAPE,221.90681256411477
GP-CP-Extended,RMSE,0.8554374257965609
GP-CP-Extended,Coverage,0.8666666666666667
GP-CP-Extended,CI_Width,2.7321319625018634
