model,effect_type,metric,value,task
FE+AR,alpha,Bias,-8.465450562766818e-17,fit
FE+AR,alpha,RMSE,0.0349923806632739,fit
FE+AR,alpha,Coverage,0.95,fit
FE+AR,alpha,CI_Width,0.146809837846577,fit
FE+AR,beta,Bias,-1.0408340855860844e-17,fit
FE+AR,beta,RMSE,0.0655668632496497,fit
FE+AR,beta,Coverage,0.95,fit
FE+AR,beta,CI_Width,0.2587047271172862,fit
GP-CP,alpha,Bias,-5.551115123125783e-17,fit
GP-CP,alpha,RMSE,0.0173248364696458,fit
GP-CP,alpha,Coverage,1.0,fit
GP-CP,alpha,CI_Width,0.0922464589296875,fit
GP-CP,beta,Bias,-1.9197606467476665e-17,fit
GP-CP,beta,RMSE,0.0349469566620174,fit
GP-CP,beta,Coverage,0.9833333333333332,fit
GP-CP,beta,CI_Width,0.1502359637869801,fit
GP-CP-Extended,alpha,Bias,-8.465450562766818e-17,fit
GP-CP-Extended,alpha,RMSE,0.0172203924224924,fit
GP-CP-Extended,alpha,Coverage,1.0,fit
GP-CP-Extended,alpha,CI_Width,0.090293242961894,fit
GP-CP-Extended,beta,Bias,-3.3075394275291115e-17,fit
GP-CP-Extended,beta,RMSE,0.0349061746836805,fit
GP-CP-Extended,beta,Coverage,0.9666666666666668,fit
GP-CP-Extended,beta,CI_Width,0.147760469450826,fit
FE+AR,gamma,Bias,,fit
FE+AR,gamma,RMSE,,fit
FE+AR,gamma,Coverage,,fit
GP-CP,gamma,Bias,,fit
GP-CP,gamma,RMSE,,fit
GP-CP,gamma,Coverage,,fit
FE+AR,beta,MAE,0.49126871925624677,extrapolation
FE+AR,beta,MAPE,516.1836875823751,extrapolation
FE+AR,beta,RMSE,0.5801464128555176,extrapolation
FE+AR,beta,Coverage,0.6666666666666666,extrapolation
FE+AR,beta,CI_Width,1.2794962171309583,extrapolation
GP-CP,beta,MAE,0.27222927148648385,extrapolation
GP-CP,beta,MAPE,294.65555434611093,extrapolation
GP-CP,beta,RMSE,0.3183966915669412,extrapolation
GP-CP,beta,Coverage,1.0,extrapolation
GP-CP,beta,CI_Width,1.0341146105207044,extrapolation
GP-CP-Extended,beta,MAE,0.2714024212633866,extrapolation
GP-CP-Extended,beta,MAPE,293.20769337203865,extrapolation
GP-CP-Extended,beta,RMSE,0.3176288915647171,extrapolation
GP-CP-Extended,beta,Coverage,1.0,extrapolation
GP-CP-Extended,beta,CI_Width,1.0470119871023948,extrapolation
FE+AR,y,Bias,0.4536884015500639,extrapolation_y
FE+AR,y,MAE,0.5336570045360256,extrapolation_y
FE+AR,y,RMSE,0.6472172886986197,extrapolation_y
GP-CP,y,Bias,-0.010436003723262604,extrapolation_y
GP-CP,y,MAE,0.36109448034486347,extrapolation_y
GP-CP,y,RMSE,0.4462907929076074,extrapolation_y
GP-CP-Extended,y,Bias,-0.010561425415163257,extrapolation_y
GP-CP-Extended,y,MAE,0.36060774288987785,extrapolation_y
GP-CP-Extended,y,RMSE,0.4457043411263673,extrapolation_y
FE+AR,tau_att,tau_mae_avg_over_cohorts,0.13740969271391215,placebo_te
GP-CP,tau_att,tau_mae_avg_over_cohorts,0.07696042948705589,placebo_te
GP-CP-Extended,tau_att,tau_mae_avg_over_cohorts,0.08986405141731314,placebo_te
FE+AR,tau_att,tau_rmse_avg_over_cohorts,0.14217262288667512,placebo_te
GP-CP,tau_att,tau_rmse_avg_over_cohorts,0.07929814490368664,placebo_te
GP-CP-Extended,tau_att,tau_rmse_avg_over_cohorts,0.09680658210924745,placebo_te
FE+AR,tau_att,tau_coverage_avg_over_cohorts,0.9008333333333333,placebo_te
GP-CP,tau_att,tau_coverage_avg_over_cohorts,1.0,placebo_te
GP-CP-Extended,tau_att,tau_coverage_avg_over_cohorts,1.0,placebo_te
FE+AR,tau_att,tau_ci_width_avg_over_cohorts,0.6502277920782104,placebo_te
GP-CP,tau_att,tau_ci_width_avg_over_cohorts,0.4579119702095667,placebo_te
GP-CP-Extended,tau_att,tau_ci_width_avg_over_cohorts,0.784520650227419,placebo_te
FE+AR,tau_att,tau_ci_width_std_over_cohorts,0.4089655119867433,placebo_te
GP-CP,tau_att,tau_ci_width_std_over_cohorts,0.3704432193641096,placebo_te
GP-CP-Extended,tau_att,tau_ci_width_std_over_cohorts,0.2880409159545867,placebo_te
FE+AR,tau_att,att_avg_over_t,-0.4569920178849223,placebo_te
GP-CP,tau_att,att_avg_over_t,0.0043635526715216566,placebo_te
GP-CP-Extended,tau_att,att_avg_over_t,0.0044872497098557675,placebo_te
FE+AR,tau_att,att_mae_vs_zero,0.4569920178849223,placebo_te
GP-CP,tau_att,att_mae_vs_zero,0.0043635526715216566,placebo_te
GP-CP-Extended,tau_att,att_mae_vs_zero,0.0044872497098557675,placebo_te
FE+AR,tau_att,att_rmse_vs_zero,0.4569920178849223,placebo_te
GP-CP,tau_att,att_rmse_vs_zero,0.0043635526715216566,placebo_te
GP-CP-Extended,tau_att,att_rmse_vs_zero,0.0044872497098557675,placebo_te
FE+AR,tau_att,att_coverage_vs_zero,0.0,placebo_te
GP-CP,tau_att,att_coverage_vs_zero,1.0,placebo_te
GP-CP-Extended,tau_att,att_coverage_vs_zero,1.0,placebo_te
FE+AR,tau_att,att_ci_width_avg_over_t,0.29651270581967404,placebo_te
GP-CP,tau_att,att_ci_width_avg_over_t,0.2362201058953342,placebo_te
GP-CP-Extended,tau_att,att_ci_width_avg_over_t,0.27796679978332356,placebo_te
