model,metric,value
FE+AR,MAE,0.39214732631435434
FE+AR,MAPE,319.0429678036344
FE+AR,RMSE,0.42252752066010574
FE+AR,Coverage,0.8
FE+AR,CI_Width,1.064922673609686
GP-CP,MAE,0.3747307260977712
GP-CP,MAPE,158.6883317260857
GP-CP,RMSE,0.4057092464312149
GP-CP,Coverage,0.4666666666666667
GP-CP,CI_Width,0.9204376353457744
GP-CP-Extended,MAE,0.37261916213419444
GP-CP-Extended,MAPE,161.7524804510604
GP-CP-Extended,RMSE,0.40329380512173213
GP-CP-Extended,Coverage,0.4666666666666667
GP-CP-Extended,CI_Width,0.8855324332459793
