model,cohort,period,y_true,y_hat,resid
FE+AR,0,45,-0.611610573631362,-0.8895878679939697,-0.27797729436260776
FE+AR,0,46,-0.9880219858325401,-0.8365445668710972,0.15147741896144284
FE+AR,0,47,-0.9464247201482412,-0.7919765683613249,0.1544481517869163
FE+AR,0,48,-0.6676219893300267,-0.7545296815892163,-0.0869076922591896
FE+AR,0,49,-0.45956425356925473,-0.7230660894196992,-0.26350183585044445
FE+AR,0,50,-0.5043649614988595,-0.6966297760825103,-0.19226481458365086
FE+AR,0,51,-0.3225552096714742,-0.6744174787994579,-0.3518622691279837
FE+AR,0,52,0.40761770273628534,-0.6557542807847547,-1.06337198352104
FE+AR,0,53,-0.2184640538051616,-0.6400731040159844,-0.4216090502108228
FE+AR,0,54,0.0694159696002491,-0.6268974786671188,-0.6963134482673679
FE+AR,0,55,-0.133660325543016,-0.6158270656558074,-0.48216674011279137
FE+AR,0,56,-0.6550985715291534,-0.6065254924100587,0.0485730791190947
FE+AR,0,57,-0.9406175245041744,-0.5987101322462038,0.3419073922579705
FE+AR,0,58,-0.6855054119310873,-0.592143516806317,0.09336189512477022
FE+AR,0,59,-0.8095399089423787,-0.5866261206235043,0.22291378831887443
FE+AR,1,45,-0.7185155854259355,-1.060303713824733,-0.3417881283987976
FE+AR,1,46,-1.0386842802609557,-1.0072604127018607,0.03142386755909499
FE+AR,1,47,-0.6186385424645556,-0.9626924141920883,-0.34405387172753266
FE+AR,1,48,-0.5719349000380258,-0.9252455274199797,-0.35331062738195385
FE+AR,1,49,-0.5441470175712321,-0.8937819352504626,-0.3496349176792305
FE+AR,1,50,-0.3450146003375505,-0.8673456219132737,-0.5223310215757232
FE+AR,1,51,0.09206077122749046,-0.8451333246302213,-0.9371940958577117
FE+AR,1,52,-0.02163764148587384,-0.8264701266155181,-0.8048324851296442
FE+AR,1,53,-0.8727915985472467,-0.8107889498467478,0.062002648700498986
FE+AR,1,54,-0.937797629257999,-0.7976133244978821,0.1401843047601169
FE+AR,1,55,-0.3548008990257128,-0.7865429114865707,-0.4317420124608579
FE+AR,1,56,-1.055726427546375,-0.7772413382408221,0.2784850893055528
FE+AR,1,57,-1.218459264164621,-0.7694259780769672,0.4490332860876538
