model,effect_type,metric,value
FE+AR,alpha,Bias,-6.38378239159465e-17
FE+AR,alpha,RMSE,0.04237347662607127
FE+AR,alpha,Coverage,0.95
FE+AR,alpha,CI_Width,0.14646609883156972
FE+AR,beta,Bias,-1.8041124150158794e-17
FE+AR,beta,RMSE,0.07056398743693597
FE+AR,beta,Coverage,0.95
FE+AR,beta,CI_Width,0.25809899858177754
GP-CP,alpha,Bias,-1.124100812432971e-16
GP-CP,alpha,RMSE,0.029240336202390905
GP-CP,alpha,Coverage,0.8
GP-CP,alpha,CI_Width,0.09125787232892961
GP-CP,beta,Bias,-1.6653345369377347e-17
GP-CP,beta,RMSE,0.03937428217714134
GP-CP,beta,Coverage,0.9666666666666667
GP-CP,beta,CI_Width,0.16172743745176657
GP-CP-Extended,alpha,Bias,-1.5265566588595904e-17
GP-CP-Extended,alpha,RMSE,0.02957476347538416
GP-CP-Extended,alpha,Coverage,0.8
GP-CP-Extended,alpha,CI_Width,0.08666754157111817
GP-CP-Extended,beta,Bias,-4.255854927729767e-17
GP-CP-Extended,beta,RMSE,0.03974714839763583
GP-CP-Extended,beta,Coverage,0.95
GP-CP-Extended,beta,CI_Width,0.15528907016069432
FE+AR,gamma,Bias,
FE+AR,gamma,RMSE,
FE+AR,gamma,Coverage,
GP-CP,gamma,Bias,
GP-CP,gamma,RMSE,
GP-CP,gamma,Coverage,
