model,effect_type,index,mean,lo95,hi95,truth
FE+AR,alpha,0,-0.5565238317799548,-0.6297568811957542,-0.48329078236415535,-0.5309765645293563
FE+AR,alpha,1,-0.7287697810554031,-0.802002830471188,-0.6555367316396182,-0.7208264582233472
FE+AR,alpha,2,-0.8286425448289482,-0.901875594244733,-0.7554094954131634,-0.7845087143202973
FE+AR,alpha,3,-0.8367847251090015,-0.9100177745247862,-0.7635516756932168,-0.7659003698867342
FE+AR,alpha,4,-0.8092317837937938,-0.8824648332095784,-0.7359987343780092,-0.7153704133763673
FE+AR,alpha,5,-0.5984062828341822,-0.6716393322499666,-0.5251732334183977,-0.6639303622113174
FE+AR,alpha,6,-0.6211681487650973,-0.6944011981808818,-0.5479350993493128,-0.6091047468101299
FE+AR,alpha,7,-0.45465170873882166,-0.527884758154606,-0.3814186593230373,-0.5185941184439983
FE+AR,alpha,8,-0.30470015756512175,-0.377933206980906,-0.23146710814933752,-0.3499020056943119
FE+AR,alpha,9,-0.06485520849271326,-0.13808825790849744,0.008377840923070909,-0.07699795234811985
FE+AR,alpha,10,0.2961372322047877,0.22290418278900365,0.3693702816205718,0.2881749462782646
FE+AR,alpha,11,0.6624844922911126,0.5892514428753286,0.7357175417068966,0.6895592336592592
FE+AR,alpha,12,1.0788296786472538,1.0055966292314698,1.1520627280630378,1.040009954049654
FE+AR,alpha,13,1.2665765441204855,1.1933434947047017,1.3398095935362693,1.2491456628340392
FE+AR,alpha,14,1.2953467943245514,1.2221137449087676,1.3685798437403351,1.2552427030368767
FE+AR,alpha,15,1.0344718769180246,0.9612388275022409,1.1077049263338081,1.0483964999605397
FE+AR,alpha,16,0.7142059030668116,0.6409728536510281,0.7874389524825952,0.6754931892009342
FE+AR,alpha,17,0.1850160487583154,0.11178299934253191,0.2582490981740989,0.22480883213657193
FE+AR,alpha,18,-0.17668029185909215,-0.24991334127487555,-0.10344724244330875,-0.203742750782804
FE+AR,alpha,19,-0.552654105509214,-0.6258871549249974,-0.4794210560934307,-0.5309765645293556
FE+AR,beta,0,-0.4900070395583081,-0.6190565388493259,-0.3609575402672903,-0.5066085091360927
FE+AR,beta,1,-0.30854479439438365,-0.4375942936852701,-0.1794952951034972,-0.39152320080401687
FE+AR,beta,2,-0.20453392981335922,-0.333583429104246,-0.07548443052247245,-0.24583547847150092
FE+AR,beta,3,0.032863444533678066,-0.0961860547572087,0.16191294382456484,-0.1300665777834437
FE+AR,beta,4,-0.1553218285424058,-0.28437132783329233,-0.026272329251519316,-0.04404759175314208
FE+AR,beta,5,0.1098468446763663,-0.01920265461452028,0.23889634396725287,0.05783998491226941
FE+AR,beta,6,0.24377401046858427,0.11472451117769769,0.3728235097594709,0.21484990683585883
FE+AR,beta,7,0.3860371542884896,0.25698765499760334,0.5150866535793759,0.4116532320111463
FE+AR,beta,8,0.5806388234319175,0.4515893241410311,0.7096883227228039,0.571515700200443
FE+AR,beta,9,0.572791543679312,0.44374204438842535,0.7018410429701986,0.5989408859633627
FE+AR,beta,10,0.4609403938331801,0.3318908945422938,0.5899898931240664,0.44382745234548054
FE+AR,beta,11,0.29679128737476684,0.16774178808388032,0.4258407866656534,0.14248617908867336
FE+AR,beta,12,-0.31356270593967495,-0.44261220523056155,-0.18451320664878837,-0.19445914467626646
FE+AR,beta,13,-0.449594202915008,-0.5786437022058942,-0.3205447036241218,-0.4412513867594149
FE+AR,beta,14,-0.44111949419900887,-0.5701689934898956,-0.31206999490812215,-0.5250080049376931
FE+AR,beta,15,-0.34137921120605413,-0.47042871049694035,-0.21232971191516792,-0.4584201031682338
FE+AR,beta,16,-0.36829244636912767,-0.4973419456600142,-0.23924294707824112,-0.3175394477581256
