model,period,mean,lo95,hi95,truth
FE+AR,45,0.3342712065039098,-0.020736377189697786,0.6892787901975174,-0.032346446572858935
FE+AR,46,0.3124128950116847,-0.16420502406326287,0.7890308140866322,-0.2735580012167366
FE+AR,47,0.2928321991117551,-0.26243419376990346,0.8480985919934136,-0.3906868735406239
FE+AR,48,0.275291793391858,-0.3358098812604788,0.8863934680441947,-0.3963578660452588
FE+AR,49,0.25957908152548836,-0.39288165316574264,0.9120398162167194,-0.3512883927388016
FE+AR,50,0.24550361952431624,-0.43833944469186836,0.9293466837405008,-0.31553530666196433
FE+AR,51,0.23289480748528946,-0.47512604824146465,0.9409156632120436,-0.30550356995440076
FE+AR,52,0.221599821855527,-0.5052413231747175,0.9484409668857716,-0.2846227254462295
FE+AR,53,0.21148176315327458,-0.5301165628710358,0.953080089177585,-0.19339418039797526
FE+AR,54,0.2024179966946023,-0.550813303955817,0.9556492973450215,0.0012524495751973137
FE+AR,55,0.19429866621482714,-0.5681392723867336,0.9567366048163879,0.2703069564665715
FE+AR,56,0.18702536236919132,-0.5827208960963952,0.9567716208347778,0.5255997571790241
FE+AR,57,0.1805099299745235,-0.5950511539275959,0.956071013876643,0.6619739312842433
FE+AR,58,0.17467339953520214,-0.6055225037395249,0.9548693028099291,0.6143540808817557
FE+AR,59,0.16944503010311293,-0.6144503091283606,0.9533403693345865,0.3952937675924985
GP-CP,45,0.17562026727193025,-0.05347890379912318,0.4047194383429837,-0.032346446572858935
GP-CP,46,0.024709172567727797,-0.3550537301702238,0.4044720753056794,-0.2735580012167366
GP-CP,47,-0.05393318860416589,-0.5628137694992114,0.4549473922908796,-0.3906868735406239
GP-CP,48,-0.07041583829648071,-0.6519577057942142,0.5111260292012528,-0.3963578660452588
GP-CP,49,-0.05172133631582025,-0.648102303182234,0.5446596305505936,-0.3512883927388016
GP-CP,50,-0.022576559751033162,-0.5978818364355161,0.5527287169334498,-0.31553530666196433
GP-CP,51,0.0028829464065448923,-0.5417785852408694,0.5475444780539591,-0.30550356995440076
GP-CP,52,0.020146314465903314,-0.5020341009910518,0.5423267299228585,-0.2846227254462295
GP-CP,53,0.029931042691597562,-0.4850449376427544,0.5449070230259495,-0.19339418039797526
GP-CP,54,0.034488510088803034,-0.48998641758023764,0.5589634377578437,0.0012524495751973137
GP-CP,55,0.0357653856777055,-0.5151138571637629,0.5866446285191739,0.2703069564665715
GP-CP,56,0.034950381432408834,-0.5586836757575911,0.6285844386224088,0.5255997571790241
GP-CP,57,0.03265756191742809,-0.6168769379266801,0.6821920617615362,0.6619739312842433
GP-CP,58,0.0292550662712749,-0.6825396635497366,0.7410497960922865,0.6143540808817557
GP-CP,59,0.02511281731268454,-0.7466041774435823,0.7968298120689514,0.3952937675924985
GP-CP-Extended,45,0.16222460142858913,-0.044545642531311935,0.3689948453884902,-0.032346446572858935
GP-CP-Extended,46,0.007950167651286838,-0.35079653083056783,0.36669686613314156,-0.2735580012167366
GP-CP-Extended,47,-0.06770007852673207,-0.5591341537421225,0.4237339966886584,-0.3906868735406239
GP-CP-Extended,48,-0.0776296626657875,-0.6447078932778829,0.48944856794630787,-0.3963578660452588
GP-CP-Extended,49,-0.05251241728694293,-0.6359838532573858,0.5309590186835,-0.3512883927388016
GP-CP-Extended,50,-0.019080498172500376,-0.5824726539856411,0.5443116576406404,-0.31553530666196433
GP-CP-Extended,51,0.008439882722784814,-0.525471148896681,0.5423509143422507,-0.30550356995440076
GP-CP-Extended,52,0.026337774988143686,-0.4861482820874291,0.5388238320637165,-0.2846227254462295
GP-CP-Extended,53,0.03612184191480683,-0.4694014016736858,0.5416450855032995,-0.19339418039797526
GP-CP-Extended,54,0.040496776250796535,-0.47358574638713646,0.5545792988887295,0.0012524495751973137
GP-CP-Extended,55,0.041566388781114266,-0.49697678526239875,0.5801095628246273,0.2703069564665715
GP-CP-Extended,56,0.04051745538135129,-0.5383740367069622,0.6194089474696648,0.5255997571790241
GP-CP-Extended,57,0.037911062941828,-0.5945978147009746,0.6704199405846306,0.6619739312842433
GP-CP-Extended,58,0.03407739051971806,-0.6588450215625173,0.7269998026019534,0.6143540808817557
GP-CP-Extended,59,0.029398653917982576,-0.721988824279174,0.7807861321151391,0.3952937675924985
