model,metric,value
FE+AR,MAE,0.3921473263143544
FE+AR,MAPE,319.0429678036347
FE+AR,RMSE,0.42252752066010585
FE+AR,Coverage,0.8
FE+AR,CI_Width,1.0649226736096877
GP-CP,MAE,0.3481512276711475
GP-CP,MAPE,112.77156409089504
GP-CP,RMSE,0.3786995210943568
GP-CP,Coverage,0.8666666666666667
GP-CP,CI_Width,1.0538403908918115
GP-CP-Extended,MAE,0.3743727032184221
GP-CP-Extended,MAPE,157.63268455338277
GP-CP-Extended,RMSE,0.4053495933015948
GP-CP-Extended,Coverage,0.4666666666666667
GP-CP-Extended,CI_Width,0.9166583958687415
