model,effect_type,metric,value,task
FE+AR,alpha,Bias,2.0122792321330962e-17,fit
FE+AR,alpha,RMSE,0.0391158235546359,fit
FE+AR,alpha,Coverage,1.0,fit
FE+AR,alpha,CI_Width,0.9717688831371036,fit
FE+AR,beta,Bias,-6.707597440443654e-18,fit
FE+AR,beta,RMSE,0.0574507800820953,fit
FE+AR,beta,Coverage,1.0,fit
FE+AR,beta,CI_Width,1.7124275009129817,fit
FE+AR,gamma,Bias,-2.9605947323337513e-18,fit
FE+AR,gamma,RMSE,1.8765002802835973,fit
FE+AR,gamma,Coverage,0.0,fit
FE+AR,gamma,CI_Width,,fit
GP-CP,alpha,Bias,6.522560269672795e-17,fit
GP-CP,alpha,RMSE,0.0695964732242487,fit
GP-CP,alpha,Coverage,1.0,fit
GP-CP,alpha,CI_Width,0.4858227595163388,fit
GP-CP,beta,Bias,-9.251858538542973e-19,fit
GP-CP,beta,RMSE,0.1293426984697772,fit
GP-CP,beta,Coverage,1.0,fit
GP-CP,beta,CI_Width,0.6503915995433133,fit
GP-CP,gamma,Bias,-2.9605947323337513e-18,fit
GP-CP,gamma,RMSE,1.8765002802835973,fit
GP-CP,gamma,Coverage,0.0,fit
GP-CP,gamma,CI_Width,,fit
GP-CP-Extended,alpha,Bias,1.0408340855860844e-17,fit
GP-CP-Extended,alpha,RMSE,0.0228225973360535,fit
GP-CP-Extended,alpha,Coverage,0.95,fit
GP-CP-Extended,alpha,CI_Width,0.089844085015648,fit
GP-CP-Extended,beta,Bias,-1.8503717077085946e-18,fit
GP-CP-Extended,beta,RMSE,0.0356373659373637,fit
GP-CP-Extended,beta,Coverage,0.9666666666666668,fit
GP-CP-Extended,beta,CI_Width,0.1433504760855483,fit
GP-CP-Extended,gamma,Bias,-1.2148846743424238e-17,fit
GP-CP-Extended,gamma,RMSE,0.0191896524873994,fit
GP-CP-Extended,gamma,Coverage,1.0,fit
GP-CP-Extended,gamma,CI_Width,0.0876815068475149,fit
FE+AR,gamma,Bias,,fit
FE+AR,gamma,RMSE,,fit
FE+AR,gamma,Coverage,,fit
GP-CP,gamma,Bias,,fit
GP-CP,gamma,RMSE,,fit
GP-CP,gamma,Coverage,,fit
FE+AR,beta,MAE,0.3921473263143544,extrapolation
FE+AR,beta,MAPE,319.0429678036347,extrapolation
FE+AR,beta,RMSE,0.42252752066010585,extrapolation
FE+AR,beta,Coverage,0.8,extrapolation
FE+AR,beta,CI_Width,1.0649226736096877,extrapolation
GP-CP,beta,MAE,0.3481512276711475,extrapolation
GP-CP,beta,MAPE,112.77156409089504,extrapolation
GP-CP,beta,RMSE,0.3786995210943568,extrapolation
GP-CP,beta,Coverage,0.8666666666666667,extrapolation
GP-CP,beta,CI_Width,1.0538403908918115,extrapolation
GP-CP-Extended,beta,MAE,0.3743727032184221,extrapolation
GP-CP-Extended,beta,MAPE,157.63268455338277,extrapolation
GP-CP-Extended,beta,RMSE,0.4053495933015948,extrapolation
GP-CP-Extended,beta,Coverage,0.4666666666666667,extrapolation
GP-CP-Extended,beta,CI_Width,0.9166583958687415,extrapolation
FE+AR,y,Bias,0.0674434250119801,extrapolation_y
FE+AR,y,MAE,2.8650132719627868,extrapolation_y
FE+AR,y,RMSE,3.3557202113536,extrapolation_y
GP-CP,y,Bias,-0.0206311544459741,extrapolation_y
GP-CP,y,MAE,2.8546854951287126,extrapolation_y
GP-CP,y,RMSE,3.3421818907585226,extrapolation_y
GP-CP-Extended,y,Bias,-0.01419561887463633,extrapolation_y
GP-CP-Extended,y,MAE,0.44272136637257264,extrapolation_y
GP-CP-Extended,y,RMSE,0.5415844062976657,extrapolation_y
FE+AR,tau_att,tau_mae_avg_over_cohorts,0.7259458872570591,placebo_te
GP-CP,tau_att,tau_mae_avg_over_cohorts,0.7050626848867747,placebo_te
GP-CP-Extended,tau_att,tau_mae_avg_over_cohorts,0.10497268498746905,placebo_te
FE+AR,tau_att,tau_rmse_avg_over_cohorts,0.8457203061614212,placebo_te
GP-CP,tau_att,tau_rmse_avg_over_cohorts,0.8211139067083263,placebo_te
GP-CP-Extended,tau_att,tau_rmse_avg_over_cohorts,0.11930703512501924,placebo_te
FE+AR,tau_att,tau_coverage_avg_over_cohorts,0.87,placebo_te
GP-CP,tau_att,tau_coverage_avg_over_cohorts,0.4208333333333334,placebo_te
GP-CP-Extended,tau_att,tau_coverage_avg_over_cohorts,0.9241666666666667,placebo_te
FE+AR,tau_att,tau_ci_width_avg_over_cohorts,2.472884630515468,placebo_te
GP-CP,tau_att,tau_ci_width_avg_over_cohorts,1.1620513842841154,placebo_te
GP-CP-Extended,tau_att,tau_ci_width_avg_over_cohorts,0.5699516942206163,placebo_te
FE+AR,tau_att,tau_ci_width_std_over_cohorts,0.05708207346717328,placebo_te
GP-CP,tau_att,tau_ci_width_std_over_cohorts,0.16602092003395078,placebo_te
GP-CP-Extended,tau_att,tau_ci_width_std_over_cohorts,0.37707909583100346,placebo_te
FE+AR,tau_att,att_avg_over_t,-0.07071095651188122,placebo_te
GP-CP,tau_att,att_avg_over_t,0.002073509210584991,placebo_te
GP-CP-Extended,tau_att,att_avg_over_t,0.008721344453626292,placebo_te
FE+AR,tau_att,att_mae_vs_zero,0.07071095651188122,placebo_te
GP-CP,tau_att,att_mae_vs_zero,0.002073509210584991,placebo_te
GP-CP-Extended,tau_att,att_mae_vs_zero,0.008721344453626292,placebo_te
FE+AR,tau_att,att_rmse_vs_zero,0.07071095651188122,placebo_te
GP-CP,tau_att,att_rmse_vs_zero,0.002073509210584991,placebo_te
GP-CP-Extended,tau_att,att_rmse_vs_zero,0.008721344453626292,placebo_te
FE+AR,tau_att,att_coverage_vs_zero,1.0,placebo_te
GP-CP,tau_att,att_coverage_vs_zero,1.0,placebo_te
GP-CP-Extended,tau_att,att_coverage_vs_zero,1.0,placebo_te
