model,period,mean,lo95,hi95,truth
FE+AR,45,-0.30530520566273756,-0.6826279759439065,0.0720175646184314,-0.3176510317953902
FE+AR,46,-0.25226190453986497,-0.7450934369946725,0.24056962791494257,-0.18285647957462517
FE+AR,47,-0.2076939060300926,-0.7679082435084105,0.3525204314482252,-0.08573010295306974
FE+AR,48,-0.17024701925798394,-0.7735161330985044,0.4330220945825366,0.0015020372039852726
FE+AR,49,-0.1387834270884668,-0.7706837819776492,0.4931169278007156,0.1286121132543637
FE+AR,50,-0.11234711375127786,-0.7637027975803496,0.539008570077794,0.31170114957134754
FE+AR,51,-0.09013481646822546,-0.7548825499558975,0.5746129170194467,0.5023000732145124
FE+AR,52,-0.07147161845352225,-0.745513506790144,0.6025702698830996,0.6066435463958751
FE+AR,53,-0.05579044168475188,-0.7363172761212912,0.6247363927517874,0.5442800684934543
FE+AR,54,-0.04261481633588621,-0.7276828516264757,0.6424532189547034,0.30607552567606605
FE+AR,55,-0.03154440332457467,-0.719800339130687,0.6567115324815377,-0.029528210450462097
FE+AR,56,-0.02224283007882609,-0.7127404596571552,0.668254799499503,-0.3352797121048066
FE+AR,57,-0.014427469914971123,-0.7065032916977165,0.6776483518677743,-0.5046307734841308
FE+AR,58,-0.007860854475084273,-0.7010486661691958,0.6853269572190274,-0.5067138106349749
FE+AR,59,-0.0023434582922715035,-0.6963152265992008,0.6916283100146579,-0.3917405031695168
GP-CP,45,-0.223082835634155,-0.6876134834586751,0.24144781219036512,-0.3176510317953902
GP-CP,46,-0.16741323337153768,-0.6872698112684938,0.3524433445254185,-0.18285647957462517
GP-CP,47,-0.11431343784671524,-0.6618079490083856,0.43318107331495515,-0.08573010295306974
GP-CP,48,-0.07134469018505801,-0.6235389774153339,0.48084959704521796,0.0015020372039852726
GP-CP,49,-0.039419039258454205,-0.5848573800260437,0.5060193015091352,0.1286121132543637
GP-CP,50,-0.01684949307669721,-0.5525352301865456,0.5188362440331511,0.31170114957134754
GP-CP,51,-0.0014182082203668817,-0.5291317841553609,0.5262953677146271,0.5023000732145124
GP-CP,52,0.008822361088196617,-0.514986035122158,0.5326307572985514,0.6066435463958751
GP-CP,53,0.015330780951531925,-0.5095664516981068,0.5402280136011707,0.5442800684934543
GP-CP,54,0.01909964239232871,-0.5122422285221324,0.5504415133067899,0.30607552567606605
GP-CP,55,0.020760585606351037,-0.5226013751869254,0.5641225463996276,-0.029528210450462097
GP-CP,56,0.02070345973336324,-0.5403836431700091,0.5817905626367355,-0.3352797121048066
GP-CP,57,0.019191085081529793,-0.5650530225410118,0.6034351927040713,-0.5046307734841308
GP-CP,58,0.01646981069386562,-0.5950603944610651,0.6280000158487964,-0.5067138106349749
GP-CP,59,0.01286412299901736,-0.6272035868414833,0.6529318328395181,-0.3917405031695168
GP-CP-Extended,45,-0.2311046596927662,-0.4573381616245855,-0.004871157760946848,-0.3176510317953902
GP-CP-Extended,46,-0.0692554539274195,-0.45006465119961897,0.31155374334478,-0.18285647957462517
GP-CP-Extended,47,0.0322854929780933,-0.477129664342591,0.5417006502987776,-0.08573010295306974
GP-CP-Extended,48,0.06838518323169074,-0.5098349502943231,0.6466053167577046,0.0015020372039852726
GP-CP-Extended,49,0.06192632298092529,-0.5280374198963403,0.6518900658581909,0.1286121132543637
GP-CP-Extended,50,0.039496602044054946,-0.5299353342792349,0.6089285383673447,0.31170114957134754
GP-CP-Extended,51,0.017840871385218338,-0.5247860727204587,0.5604678154908953,0.5023000732145124
GP-CP-Extended,52,0.0028886144532152547,-0.5215839702396907,0.5273611991461211,0.6066435463958751
GP-CP-Extended,53,-0.005650766934239104,-0.5249281976654481,0.51362666379697,0.5442800684934543
GP-CP-Extended,54,-0.01003201455363223,-0.5373841363904711,0.5173201072832067,0.30607552567606605
GP-CP-Extended,55,-0.012366665628224582,-0.5618124115301462,0.5370790802736971,-0.029528210450462097
GP-CP-Extended,56,-0.014087844951984563,-0.6006009186022021,0.572425228698233,-0.3352797121048066
GP-CP-Extended,57,-0.0160264518185958,-0.6529993773591525,0.620946473721961,-0.5046307734841308
GP-CP-Extended,58,-0.018548427373077714,-0.7134924219352048,0.6763955671890494,-0.5067138106349749
GP-CP-Extended,59,-0.02162554527904814,-0.7732965480488696,0.7300454574907733,-0.3917405031695168
