model,effect_type,metric,value
FE+AR,alpha,Bias,-4.718447854656915e-17
FE+AR,alpha,RMSE,0.042373476626071396
FE+AR,alpha,Coverage,1.0
FE+AR,alpha,CI_Width,1.2220106287873684
FE+AR,beta,Bias,-3.23815048849004e-17
FE+AR,beta,RMSE,0.070563987436936
FE+AR,beta,Coverage,1.0
FE+AR,beta,CI_Width,2.15339742139924
FE+AR,gamma,Bias,-2.960594732333751e-18
FE+AR,gamma,RMSE,2.3921496321963525
FE+AR,gamma,Coverage,0.0
FE+AR,gamma,CI_Width,
GP-CP,alpha,Bias,-5.412337245047638e-17
GP-CP,alpha,RMSE,0.07963464412389681
GP-CP,alpha,Coverage,1.0
GP-CP,alpha,CI_Width,0.6075425620907622
GP-CP,beta,Bias,-9.714451465470119e-18
GP-CP,beta,RMSE,0.24008405794503954
GP-CP,beta,Coverage,0.9166666666666666
GP-CP,beta,CI_Width,0.7434671648760955
GP-CP,gamma,Bias,-2.960594732333751e-18
GP-CP,gamma,RMSE,2.3921496321963525
GP-CP,gamma,Coverage,0.0
GP-CP,gamma,CI_Width,
GP-CP-Extended,alpha,Bias,-4.85722573273506e-17
GP-CP-Extended,alpha,RMSE,0.029427683816335853
GP-CP-Extended,alpha,Coverage,0.8
GP-CP-Extended,alpha,CI_Width,0.08987918317385143
GP-CP-Extended,beta,Bias,-2.7755575615628915e-18
GP-CP-Extended,beta,RMSE,0.039560254683210797
GP-CP-Extended,beta,Coverage,0.9666666666666667
GP-CP-Extended,beta,CI_Width,0.1608278620023851
GP-CP-Extended,gamma,Bias,7.790064889453182e-17
GP-CP-Extended,gamma,RMSE,0.031682698563136165
GP-CP-Extended,gamma,Coverage,0.97
GP-CP-Extended,gamma,CI_Width,0.11482472496598807
FE+AR,gamma,Bias,
FE+AR,gamma,RMSE,
FE+AR,gamma,Coverage,
GP-CP,gamma,Bias,
GP-CP,gamma,RMSE,
GP-CP,gamma,Coverage,
