model,cohort,period,y_true,y_hat,resid
FE+AR,0,45,-2.2265391540357404,1.9049736881641586,4.131512842199899
FE+AR,0,46,-2.9470226273370628,1.8831153766719333,4.830138004008996
FE+AR,0,47,-3.596090020558593,1.8635346807720035,5.459624701330596
FE+AR,0,48,-3.583478827576472,1.8459942750521063,5.429473102628578
FE+AR,0,49,-4.2185722534250285,1.8302815631857365,6.048853816610765
FE+AR,0,50,-3.822153510615014,1.8162061011845643,5.6383596117995785
FE+AR,0,51,-4.278899452048373,1.8035972891455374,6.082496741193911
FE+AR,0,52,-4.272109756932642,1.792302303515775,6.064412060448417
FE+AR,0,53,-4.286413963358132,1.7821842448135226,6.068598208171655
FE+AR,0,54,-4.375997374299274,1.7731204783548502,6.149117852654125
FE+AR,0,55,-4.329662029142015,1.7650011478750751,6.09466317701709
FE+AR,0,56,-4.351343515811873,1.7577278440294393,6.109071359841312
FE+AR,0,57,-3.8551872790970374,1.7512124116347714,5.606399690731809
FE+AR,0,58,-3.6483908270744028,1.74537588119545,5.393766708269853
FE+AR,0,59,-4.97720873819835,1.740147511763361,6.7173562499617105
FE+AR,1,45,-2.013418798784971,2.1002134484637383,4.1136322472487095
FE+AR,1,46,-2.253742812863618,2.078355136971513,4.332097949835131
FE+AR,1,47,-2.515696235715063,2.0587744410715834,4.574470676786646
FE+AR,1,48,-3.1003511062465505,2.0412340353516862,5.141585141598236
FE+AR,1,49,-3.5941139848882253,2.025521323485316,5.6196353083735415
FE+AR,1,50,-3.3515401305260926,2.011445861484144,5.362985992010237
FE+AR,1,51,-3.5076353648198317,1.9988370494451173,5.506472414264949
FE+AR,1,52,-3.581500348702764,1.987542063815355,5.569042412518119
FE+AR,1,53,-4.2885358440501875,1.9774240051131025,6.2659598491632895
FE+AR,1,54,-3.550485711349703,1.96836023865443,5.518845950004133
FE+AR,1,55,-4.334576188535372,1.960240908174655,6.294817096710028
FE+AR,1,56,-3.505560770234941,1.9529676043290192,5.458528374563961
FE+AR,1,57,-2.9457886853868738,1.9464521719343513,4.892240857321225
