scenario,task,model,effect_type,metric,mean,std
A,extrapolation,FE+AR,beta,CI_Width,3.3283865144411804,0.3988977547439853
A,extrapolation,FE+AR,beta,Coverage,0.8800000000000001,0.0869226987360353
A,extrapolation,FE+AR,beta,MAE,0.8680507072192636,0.159017505487463
A,extrapolation,FE+AR,beta,MAPE,709.8551902460297,721.3922032366744
A,extrapolation,FE+AR,beta,RMSE,1.0502418649017933,0.16513280542477143
A,extrapolation,GP-CP,beta,CI_Width,2.9082827388124963,0.32850944425394696
A,extrapolation,GP-CP,beta,Coverage,0.9733333333333334,0.059628479399994376
A,extrapolation,GP-CP,beta,MAE,0.5149954900599754,0.1280510257135709
A,extrapolation,GP-CP,beta,MAPE,237.25181246411276,126.17631950477572
A,extrapolation,GP-CP,beta,RMSE,0.6283488434204128,0.17496285043857532
A,extrapolation,GP-CP-Extended,beta,CI_Width,2.88154616118564,0.34033178280079057
A,extrapolation,GP-CP-Extended,beta,Coverage,0.9733333333333334,0.059628479399994376
A,extrapolation,GP-CP-Extended,beta,MAE,0.5083492022533285,0.12724078373848857
A,extrapolation,GP-CP-Extended,beta,MAPE,232.75696910938967,123.39104542670866
A,extrapolation,GP-CP-Extended,beta,RMSE,0.6232065986329369,0.17335559716728843
A,extrapolation_y,FE+AR,y,Bias,-0.13271107485047207,0.8256558198036159
A,extrapolation_y,FE+AR,y,MAE,0.8875332256371926,0.16575075980616916
A,extrapolation_y,FE+AR,y,RMSE,1.0822973218319525,0.17189634063408374
A,extrapolation_y,GP-CP,y,Bias,-0.0038570497859516913,0.01401036790344303
A,extrapolation_y,GP-CP,y,MAE,0.5604524920307762,0.11481427323100402
A,extrapolation_y,GP-CP,y,RMSE,0.6932601756763431,0.14963366260118924
A,extrapolation_y,GP-CP-Extended,y,Bias,-0.003653652011318634,0.013932690499675467
A,extrapolation_y,GP-CP-Extended,y,MAE,0.5560264257035726,0.11419495368566734
A,extrapolation_y,GP-CP-Extended,y,RMSE,0.6888607448470043,0.14828824224056916
A,fit,FE+AR,alpha,Bias,-6.13398221105399e-17,1.2088979114879478e-16
A,fit,FE+AR,alpha,CI_Width,0.14799046043247738,0.0025490254121806216
A,fit,FE+AR,alpha,Coverage,0.93,0.05700877125495691
A,fit,FE+AR,alpha,RMSE,0.03720193841211677,0.004070013664514407
A,fit,FE+AR,beta,Bias,-3.127128186027524e-17,6.102949055902142e-17
A,fit,FE+AR,beta,CI_Width,0.26078519153570645,0.004491830611258876
A,fit,FE+AR,beta,Coverage,0.9666666666666666,0.026352313834736487
A,fit,FE+AR,beta,RMSE,0.06243836815636007,0.007179539283815974
A,fit,FE+AR,gamma,Bias,,
A,fit,FE+AR,gamma,Coverage,,
A,fit,FE+AR,gamma,RMSE,,
A,fit,GP-CP,alpha,Bias,-1.1185496973098453e-16,1.1625743487502529e-16
A,fit,GP-CP,alpha,CI_Width,0.12169613589972963,0.006133864501724401
A,fit,GP-CP,alpha,Coverage,0.9400000000000001,0.04183300132670373
A,fit,GP-CP,alpha,RMSE,0.03245778688840525,0.003693072969659536
A,fit,GP-CP,beta,Bias,-3.9782991715734755e-18,8.656830599874062e-17
A,fit,GP-CP,beta,CI_Width,0.20076742695781508,0.005850230433711107
A,fit,GP-CP,beta,Coverage,0.9666666666666666,0.026352313834736518
A,fit,GP-CP,beta,RMSE,0.04909628249074866,0.003736167587438336
A,fit,GP-CP,gamma,Bias,,
A,fit,GP-CP,gamma,Coverage,,
A,fit,GP-CP,gamma,RMSE,,
A,fit,GP-CP-Extended,alpha,Bias,-3.691491556878646e-17,1.2877061635010227e-16
A,fit,GP-CP-Extended,alpha,CI_Width,0.11283183384833788,0.008121301087417683
A,fit,GP-CP-Extended,alpha,Coverage,0.93,0.057008771254956896
A,fit,GP-CP-Extended,alpha,RMSE,0.03254196622209647,0.0035211361206840684
A,fit,GP-CP-Extended,beta,Bias,-8.928043489693967e-18,7.092048959446414e-17
A,fit,GP-CP-Extended,beta,CI_Width,0.1865774701882224,0.01427236317480187
A,fit,GP-CP-Extended,beta,Coverage,0.95,0.03908679799852856
A,fit,GP-CP-Extended,beta,RMSE,0.04918603016895255,0.004460040584340602
A,placebo_te,FE+AR,tau_att,att_avg_over_t,0.1317524133642185,0.8279397208662107
A,placebo_te,FE+AR,tau_att,att_ci_width_avg_over_t,0.748568497273153,0.08887691134422754
A,placebo_te,FE+AR,tau_att,att_coverage_vs_zero,0.2,0.4472135954999579
A,placebo_te,FE+AR,tau_att,att_mae_vs_zero,0.6664392064660465,0.3898795128347622
A,placebo_te,FE+AR,tau_att,att_rmse_vs_zero,0.6664392064660465,0.3898795128347622
A,placebo_te,FE+AR,tau_att,tau_ci_width_avg_over_cohorts,1.1713631416319568,0.10349542057016343
A,placebo_te,FE+AR,tau_att,tau_ci_width_std_over_cohorts,1.2994354853831716,0.1844583626856172
A,placebo_te,FE+AR,tau_att,tau_coverage_avg_over_cohorts,0.9664999999999999,0.020961273816254587
A,placebo_te,FE+AR,tau_att,tau_mae_avg_over_cohorts,0.28048892571975664,0.04395728804688365
A,placebo_te,FE+AR,tau_att,tau_rmse_avg_over_cohorts,0.2832103833937913,0.04339838329856272
A,placebo_te,GP-CP,tau_att,att_avg_over_t,0.003162717183126906,0.010336257777674074
A,placebo_te,GP-CP,tau_att,att_ci_width_avg_over_t,0.6535260370287783,0.07320182764454376
A,placebo_te,GP-CP,tau_att,att_coverage_vs_zero,1.0,0.0
A,placebo_te,GP-CP,tau_att,att_mae_vs_zero,0.009275506889100537,0.0034348092756215924
A,placebo_te,GP-CP,tau_att,att_rmse_vs_zero,0.009275506889100537,0.0034348092756215924
A,placebo_te,GP-CP,tau_att,tau_ci_width_avg_over_cohorts,0.9872254586413579,0.07974480608865028
A,placebo_te,GP-CP,tau_att,tau_ci_width_std_over_cohorts,1.16762704609385,0.1586225197024567
A,placebo_te,GP-CP,tau_att,tau_coverage_avg_over_cohorts,0.9933333333333334,0.014907119849998596
A,placebo_te,GP-CP,tau_att,tau_mae_avg_over_cohorts,0.13872767120055068,0.031160320603328216
A,placebo_te,GP-CP,tau_att,tau_rmse_avg_over_cohorts,0.14163554123251004,0.031845452542102665
A,placebo_te,GP-CP-Extended,tau_att,att_avg_over_t,0.003016320654701362,0.010283991077955586
A,placebo_te,GP-CP-Extended,tau_att,att_ci_width_avg_over_t,0.6660050344785444,0.06900539152649576
A,placebo_te,GP-CP-Extended,tau_att,att_coverage_vs_zero,1.0,0.0
A,placebo_te,GP-CP-Extended,tau_att,att_mae_vs_zero,0.009062169853204101,0.0038052013476347233
A,placebo_te,GP-CP-Extended,tau_att,att_rmse_vs_zero,0.009062169853204101,0.0038052013476347233
A,placebo_te,GP-CP-Extended,tau_att,tau_ci_width_avg_over_cohorts,1.2177656925963338,0.14160568561943102
A,placebo_te,GP-CP-Extended,tau_att,tau_ci_width_std_over_cohorts,1.0653334403354087,0.16535470687548434
A,placebo_te,GP-CP-Extended,tau_att,tau_coverage_avg_over_cohorts,0.9933333333333334,0.014907119849998596
A,placebo_te,GP-CP-Extended,tau_att,tau_mae_avg_over_cohorts,0.16315372926089006,0.04419976691619614
A,placebo_te,GP-CP-Extended,tau_att,tau_rmse_avg_over_cohorts,0.17387838531726946,0.049902324428939805
B,extrapolation,FE+AR,beta,CI_Width,3.2737655200549214,0.4840119854016752
B,extrapolation,FE+AR,beta,Coverage,0.8933333333333333,0.12110601416389968
B,extrapolation,FE+AR,beta,MAE,0.8766595289531844,0.1457720342503909
B,extrapolation,FE+AR,beta,MAPE,731.4921643508687,738.797856112091
B,extrapolation,FE+AR,beta,RMSE,1.051208476770404,0.15251226228349107
B,extrapolation,GP-CP,beta,CI_Width,2.919914289814924,0.45846112548942697
B,extrapolation,GP-CP,beta,Coverage,0.96,0.05962847939999437
B,extrapolation,GP-CP,beta,MAE,0.5789875536939233,0.1813076449834183
B,extrapolation,GP-CP,beta,MAPE,246.62590034946507,108.05125553385456
B,extrapolation,GP-CP,beta,RMSE,0.6832739366466059,0.2267476429036896
B,extrapolation,GP-CP-Extended,beta,CI_Width,2.8232230841719708,0.4259781480171686
B,extrapolation,GP-CP-Extended,beta,Coverage,0.9466666666666667,0.0557773351022717
B,extrapolation,GP-CP-Extended,beta,MAE,0.56504638847051,0.16004250788433777
B,extrapolation,GP-CP-Extended,beta,MAPE,210.30615470633944,31.52346102888239
B,extrapolation,GP-CP-Extended,beta,RMSE,0.6747478147296755,0.20197084352247016
B,extrapolation_y,FE+AR,y,Bias,-0.1198365516704927,0.8237890156798015
B,extrapolation_y,FE+AR,y,MAE,1.1535256148375417,0.07883123717043565
B,extrapolation_y,FE+AR,y,RMSE,1.4277606566144931,0.12099272435517214
B,extrapolation_y,GP-CP,y,Bias,-0.014384029316588744,0.03606471113545253
B,extrapolation_y,GP-CP,y,MAE,0.9767382364061309,0.1483471444068661
B,extrapolation_y,GP-CP,y,RMSE,1.188637988903304,0.1648344770481465
B,extrapolation_y,GP-CP-Extended,y,Bias,-0.014569558665847521,0.03439837836510784
B,extrapolation_y,GP-CP-Extended,y,MAE,0.9403937093587192,0.13138435125884598
B,extrapolation_y,GP-CP-Extended,y,RMSE,1.1547630564146747,0.15720643084149044
B,fit,FE+AR,alpha,Bias,-5.27355936696949e-18,1.0469409008867997e-16
B,fit,FE+AR,alpha,CI_Width,0.4678734782695585,0.018495946104478585
B,fit,FE+AR,alpha,Coverage,1.0,0.0
B,fit,FE+AR,alpha,RMSE,0.03246572412035498,0.004944799064360923
B,fit,FE+AR,beta,Bias,-8.46545056276682e-18,4.0834013368715773e-17
B,fit,FE+AR,beta,CI_Width,0.824475268800685,0.032593106565076996
B,fit,FE+AR,beta,Coverage,1.0,0.0
B,fit,FE+AR,beta,RMSE,0.06434038415653219,0.0038690104209039788
B,fit,FE+AR,gamma,Bias,7.031412489292657e-18,1.6258019106162533e-17
B,fit,FE+AR,gamma,CI_Width,,
B,fit,FE+AR,gamma,Coverage,0.0,0.0
