model,effect_type,metric,mean,std
FE+AR,alpha,Bias,-6.13398221105399e-17,1.2088979114879478e-16
FE+AR,alpha,CI_Width,0.14799046043247738,0.0025490254121806216
FE+AR,alpha,Coverage,0.93,0.05700877125495691
FE+AR,alpha,RMSE,0.03720193841211677,0.004070013664514407
FE+AR,beta,Bias,-3.127128186027524e-17,6.102949055902142e-17
FE+AR,beta,CI_Width,0.26078519153570645,0.004491830611258876
FE+AR,beta,Coverage,0.9666666666666666,0.026352313834736487
FE+AR,beta,RMSE,0.06243836815636007,0.007179539283815974
FE+AR,gamma,Bias,,
FE+AR,gamma,Coverage,,
FE+AR,gamma,RMSE,,
GP-CP,alpha,Bias,-1.1185496973098453e-16,1.1625743487502529e-16
GP-CP,alpha,CI_Width,0.12169613589972963,0.006133864501724401
GP-CP,alpha,Coverage,0.9400000000000001,0.04183300132670373
GP-CP,alpha,RMSE,0.03245778688840525,0.003693072969659536
GP-CP,beta,Bias,-3.9782991715734755e-18,8.656830599874062e-17
GP-CP,beta,CI_Width,0.20076742695781508,0.005850230433711107
GP-CP,beta,Coverage,0.9666666666666666,0.026352313834736518
GP-CP,beta,RMSE,0.04909628249074866,0.003736167587438336
GP-CP,gamma,Bias,,
GP-CP,gamma,Coverage,,
GP-CP,gamma,RMSE,,
GP-CP-Extended,alpha,Bias,-3.691491556878646e-17,1.2877061635010227e-16
GP-CP-Extended,alpha,CI_Width,0.11283183384833788,0.008121301087417683
GP-CP-Extended,alpha,Coverage,0.93,0.057008771254956896
GP-CP-Extended,alpha,RMSE,0.03254196622209647,0.0035211361206840684
GP-CP-Extended,beta,Bias,-8.928043489693967e-18,7.092048959446414e-17
GP-CP-Extended,beta,CI_Width,0.1865774701882224,0.01427236317480187
GP-CP-Extended,beta,Coverage,0.95,0.03908679799852856
GP-CP-Extended,beta,RMSE,0.04918603016895255,0.004460040584340602
