model,metric,mean,std
FE+AR,att_avg_over_t,0.1317524133642185,0.8279397208662107
FE+AR,att_ci_width_avg_over_t,0.748568497273153,0.08887691134422754
FE+AR,att_coverage_vs_zero,0.2,0.4472135954999579
FE+AR,att_mae_vs_zero,0.6664392064660465,0.3898795128347622
FE+AR,att_rmse_vs_zero,0.6664392064660465,0.3898795128347622
FE+AR,tau_ci_width_avg_over_cohorts,1.1713631416319568,0.10349542057016343
FE+AR,tau_ci_width_std_over_cohorts,1.2994354853831716,0.1844583626856172
FE+AR,tau_coverage_avg_over_cohorts,0.9664999999999999,0.020961273816254587
FE+AR,tau_mae_avg_over_cohorts,0.28048892571975664,0.04395728804688365
FE+AR,tau_rmse_avg_over_cohorts,0.2832103833937913,0.04339838329856272
GP-CP,att_avg_over_t,0.003162717183126906,0.010336257777674074
GP-CP,att_ci_width_avg_over_t,0.6535260370287783,0.07320182764454376
GP-CP,att_coverage_vs_zero,1.0,0.0
GP-CP,att_mae_vs_zero,0.009275506889100537,0.0034348092756215924
GP-CP,att_rmse_vs_zero,0.009275506889100537,0.0034348092756215924
GP-CP,tau_ci_width_avg_over_cohorts,0.9872254586413579,0.07974480608865028
GP-CP,tau_ci_width_std_over_cohorts,1.16762704609385,0.1586225197024567
GP-CP,tau_coverage_avg_over_cohorts,0.9933333333333334,0.014907119849998596
GP-CP,tau_mae_avg_over_cohorts,0.13872767120055068,0.031160320603328216
GP-CP,tau_rmse_avg_over_cohorts,0.14163554123251004,0.031845452542102665
GP-CP-Extended,att_avg_over_t,0.003016320654701362,0.010283991077955586
GP-CP-Extended,att_ci_width_avg_over_t,0.6660050344785444,0.06900539152649576
GP-CP-Extended,att_coverage_vs_zero,1.0,0.0
GP-CP-Extended,att_mae_vs_zero,0.009062169853204101,0.0038052013476347233
GP-CP-Extended,att_rmse_vs_zero,0.009062169853204101,0.0038052013476347233
GP-CP-Extended,tau_ci_width_avg_over_cohorts,1.2177656925963338,0.14160568561943102
GP-CP-Extended,tau_ci_width_std_over_cohorts,1.0653334403354087,0.16535470687548434
GP-CP-Extended,tau_coverage_avg_over_cohorts,0.9933333333333334,0.014907119849998596
GP-CP-Extended,tau_mae_avg_over_cohorts,0.16315372926089006,0.04419976691619614
GP-CP-Extended,tau_rmse_avg_over_cohorts,0.17387838531726946,0.049902324428939805
