model,metric,mean,std
FE+AR,CI_Width,3.2737655200549214,0.4840119854016752
FE+AR,Coverage,0.8933333333333333,0.12110601416389968
FE+AR,MAE,0.8766595289531844,0.1457720342503909
FE+AR,MAPE,731.4921643508687,738.797856112091
FE+AR,RMSE,1.051208476770404,0.15251226228349107
GP-CP,CI_Width,2.919914289814924,0.45846112548942697
GP-CP,Coverage,0.96,0.05962847939999437
GP-CP,MAE,0.5789875536939233,0.1813076449834183
GP-CP,MAPE,246.62590034946507,108.05125553385456
GP-CP,RMSE,0.6832739366466059,0.2267476429036896
GP-CP-Extended,CI_Width,2.8232230841719708,0.4259781480171686
GP-CP-Extended,Coverage,0.9466666666666667,0.0557773351022717
GP-CP-Extended,MAE,0.56504638847051,0.16004250788433777
GP-CP-Extended,MAPE,210.30615470633944,31.52346102888239
GP-CP-Extended,RMSE,0.6747478147296755,0.20197084352247016
