model,effect_type,metric,mean,std
FE+AR,alpha,Bias,-5.27355936696949e-18,1.0469409008867997e-16
FE+AR,alpha,CI_Width,0.4678734782695585,0.018495946104478585
FE+AR,alpha,Coverage,1.0,0.0
FE+AR,alpha,RMSE,0.03246572412035498,0.004944799064360923
FE+AR,beta,Bias,-8.46545056276682e-18,4.0834013368715773e-17
FE+AR,beta,CI_Width,0.824475268800685,0.032593106565076996
FE+AR,beta,Coverage,1.0,0.0
FE+AR,beta,RMSE,0.06434038415653219,0.0038690104209039788
FE+AR,gamma,Bias,7.031412489292657e-18,1.6258019106162533e-17
FE+AR,gamma,CI_Width,,
FE+AR,gamma,Coverage,0.0,0.0
FE+AR,gamma,RMSE,0.8710308834535712,0.031931283069470365
GP-CP,alpha,Bias,-4.7045700668491004e-17,1.7708758731473695e-16
GP-CP,alpha,CI_Width,0.34178386910835645,0.01595168461225351
GP-CP,alpha,Coverage,1.0,0.0
GP-CP,alpha,RMSE,0.04511290519375398,0.006673965185615398
GP-CP,beta,Bias,-3.4139358007223563e-17,7.33296611418079e-17
GP-CP,beta,CI_Width,0.5267464540825484,0.013684187948621675
GP-CP,beta,Coverage,1.0,0.0
GP-CP,beta,RMSE,0.0868176990186347,0.013728644910214104
GP-CP,gamma,Bias,7.031412489292657e-18,1.6258019106162533e-17
GP-CP,gamma,CI_Width,,
GP-CP,gamma,Coverage,0.0,0.0
GP-CP,gamma,RMSE,0.8710308834535712,0.031931283069470365
GP-CP-Extended,alpha,Bias,-8.1601392309949e-17,1.3695977467617403e-16
GP-CP-Extended,alpha,CI_Width,0.12233445638954166,0.004384709294977194
GP-CP-Extended,alpha,Coverage,0.96,0.04183300132670376
GP-CP-Extended,alpha,RMSE,0.028095412940398502,0.005080085240576154
GP-CP-Extended,beta,Bias,-6.453171330633723e-17,3.7440746643781743e-17
GP-CP-Extended,beta,CI_Width,0.20135884044132127,0.00293300138945963
GP-CP-Extended,beta,Coverage,0.9400000000000001,0.048016200969626444
GP-CP-Extended,beta,RMSE,0.051081440955768574,0.009127486462019852
GP-CP-Extended,gamma,Bias,-4.810966440042345e-18,2.6945611133991114e-17
GP-CP-Extended,gamma,CI_Width,0.6820321866465329,0.012133826346342186
GP-CP-Extended,gamma,Coverage,0.9483333333333335,0.01295022522326672
GP-CP-Extended,gamma,RMSE,0.17484319342315593,0.0062253622861276345
