model,metric,mean,std
FE+AR,att_avg_over_t,0.11617119408527662,0.8259042116888178
FE+AR,att_ci_width_avg_over_t,0.7736725075369986,0.10492070164322174
FE+AR,att_coverage_vs_zero,0.2,0.4472135954999579
FE+AR,att_mae_vs_zero,0.6507613922012832,0.41185490506929245
FE+AR,att_rmse_vs_zero,0.6507613922012832,0.41185490506929245
FE+AR,tau_ci_width_avg_over_cohorts,1.893902326135977,0.14693490619808422
FE+AR,tau_ci_width_std_over_cohorts,0.9506546649643226,0.20571479995804756
FE+AR,tau_coverage_avg_over_cohorts,0.9728333333333333,0.025170253607515878
FE+AR,tau_mae_avg_over_cohorts,0.32363842015848243,0.02667377402111071
FE+AR,tau_rmse_avg_over_cohorts,0.3448377915101041,0.027177077204957614
GP-CP,att_avg_over_t,0.010619882553498229,0.027823418231582225
GP-CP,att_ci_width_avg_over_t,0.6750702947455167,0.1003479021712882
GP-CP,att_coverage_vs_zero,1.0,0.0
GP-CP,att_mae_vs_zero,0.023887759716270003,0.01420699312220384
GP-CP,att_rmse_vs_zero,0.023887759716270003,0.01420699312220384
GP-CP,tau_ci_width_avg_over_cohorts,1.4434367985194079,0.12183435205024677
GP-CP,tau_ci_width_std_over_cohorts,0.9509470937826429,0.20312337208869383
GP-CP,tau_coverage_avg_over_cohorts,0.994,0.009472181492255196
GP-CP,tau_mae_avg_over_cohorts,0.2196593747848749,0.05411349546105646
GP-CP,tau_rmse_avg_over_cohorts,0.23756206070584684,0.056737432432977956
GP-CP-Extended,att_avg_over_t,0.011255053872277451,0.024846828708149256
GP-CP-Extended,att_ci_width_avg_over_t,0.9926958089731619,0.0693163511428043
GP-CP-Extended,att_coverage_vs_zero,1.0,0.0
GP-CP-Extended,att_mae_vs_zero,0.02274772841251668,0.011352808420162886
GP-CP-Extended,att_rmse_vs_zero,0.02274772841251668,0.011352808420162886
GP-CP-Extended,tau_ci_width_avg_over_cohorts,2.0262757473174915,0.08100023858644138
GP-CP-Extended,tau_ci_width_std_over_cohorts,1.4433931817912284,0.1417300333839642
GP-CP-Extended,tau_coverage_avg_over_cohorts,0.9918333333333333,0.005694783187756675
GP-CP-Extended,tau_mae_avg_over_cohorts,0.2334871976450202,0.035191152920975986
GP-CP-Extended,tau_rmse_avg_over_cohorts,0.27537364740163667,0.036325981889977425
