model,metric,mean,std
FE+AR,CI_Width,1.2477802366931932,0.10774041209018888
FE+AR,Coverage,0.8266666666666665,0.13824294235551812
FE+AR,MAE,0.4056239337660295,0.0634499026317356
FE+AR,MAPE,627.9531174946246,435.5950710321294
FE+AR,RMSE,0.45369311044676824,0.07865970492226619
GP-CP,CI_Width,1.0389770787362425,0.0792346037443514
GP-CP,Coverage,0.8666666666666666,0.23094010767585027
GP-CP,MAE,0.29362727380555,0.06495467171109559
GP-CP,MAPE,245.75260221324066,137.77376238766522
GP-CP,RMSE,0.3328228028652148,0.06475660567932638
GP-CP-Extended,CI_Width,1.014636195088893,0.08303846270590498
GP-CP-Extended,Coverage,0.8266666666666665,0.21908902300206642
GP-CP-Extended,MAE,0.2990548785448808,0.05303359196494487
GP-CP-Extended,MAPE,249.4806412914392,132.08992320934803
GP-CP-Extended,RMSE,0.33916270022863726,0.04972997645230537
