model,effect_type,metric,mean,std
FE+AR,alpha,Bias,-3.885780586188046e-18,6.926844461008584e-17
FE+AR,alpha,CI_Width,0.14876915230969426,0.004170626177970993
FE+AR,alpha,Coverage,0.95,0.035355339059327376
FE+AR,alpha,RMSE,0.037086503983799195,0.006813322911962006
FE+AR,beta,Bias,-9.992007221626408e-18,1.3116161491930092e-17
FE+AR,beta,CI_Width,0.26215738343073686,0.007349376057534824
FE+AR,beta,Coverage,0.9633333333333333,0.027386127875258313
FE+AR,beta,RMSE,0.06412521752398988,0.006440466479410042
FE+AR,gamma,Bias,,
FE+AR,gamma,Coverage,,
FE+AR,gamma,RMSE,,
GP-CP,alpha,Bias,-2.0122792321330962e-17,7.655458719613318e-17
GP-CP,alpha,CI_Width,0.09276665220605973,0.003371348215977587
GP-CP,alpha,Coverage,0.9199999999999999,0.09082951062292474
GP-CP,alpha,RMSE,0.02441530283611739,0.005077121255513293
GP-CP,beta,Bias,-1.4340380734741607e-18,1.5114476181354503e-17
GP-CP,beta,CI_Width,0.15478832171398588,0.009175989046391024
GP-CP,beta,Coverage,0.9766666666666666,0.014907119849998584
GP-CP,beta,RMSE,0.03579695086361515,0.0030304164267345277
GP-CP,gamma,Bias,,
GP-CP,gamma,Coverage,,
GP-CP,gamma,RMSE,,
GP-CP-Extended,alpha,Bias,-6.5225602696727935e-18,4.679408135940984e-17
GP-CP-Extended,alpha,CI_Width,0.08806113109229527,0.009010743732187212
GP-CP-Extended,alpha,Coverage,0.9099999999999999,0.0894427190999916
GP-CP-Extended,alpha,RMSE,0.024514284675795174,0.005111535105477257
GP-CP-Extended,beta,Bias,-2.706168622523819e-17,1.694315666638657e-17
GP-CP-Extended,beta,CI_Width,0.14747541381604903,0.01738161960306192
GP-CP-Extended,beta,Coverage,0.96,0.030276503540974945
GP-CP-Extended,beta,RMSE,0.03595952571704001,0.0031289832587852824
