model,metric,mean,std
FE+AR,att_avg_over_t,-0.09029976171029078,0.2620142214205139
FE+AR,att_ci_width_avg_over_t,0.29002465290484647,0.023011965837967926
FE+AR,att_coverage_vs_zero,0.4,0.5477225575051661
FE+AR,att_mae_vs_zero,0.20883791693325074,0.15597248634452496
FE+AR,att_rmse_vs_zero,0.20883791693325074,0.15597248634452496
FE+AR,tau_ci_width_avg_over_cohorts,0.6484788942563985,0.02603083634699324
FE+AR,tau_ci_width_std_over_cohorts,0.391410461902273,0.047407460341472606
FE+AR,tau_coverage_avg_over_cohorts,0.97,0.043592972165501905
FE+AR,tau_mae_avg_over_cohorts,0.11613644127772127,0.014055520740217847
FE+AR,tau_rmse_avg_over_cohorts,0.11983740384740756,0.014724379275326636
GP-CP,att_avg_over_t,-0.001092612099681566,0.007948504962690933
GP-CP,att_ci_width_avg_over_t,0.23748033338761293,0.01767454222680773
GP-CP,att_coverage_vs_zero,1.0,0.0
GP-CP,att_mae_vs_zero,0.00630738306327065,0.0038655053044645772
GP-CP,att_rmse_vs_zero,0.00630738306327065,0.0038655053044645772
GP-CP,tau_ci_width_avg_over_cohorts,0.46488386897692485,0.02796157644088918
GP-CP,tau_ci_width_std_over_cohorts,0.3683605230489501,0.028149509754865645
GP-CP,tau_coverage_avg_over_cohorts,0.9753333333333334,0.0479966723383565
GP-CP,tau_mae_avg_over_cohorts,0.08277914116619174,0.012469084203849644
GP-CP,tau_rmse_avg_over_cohorts,0.08505797184783426,0.012305234559958002
GP-CP-Extended,att_avg_over_t,-0.0012454808027925674,0.00796154103547111
GP-CP-Extended,att_ci_width_avg_over_t,0.29036467553503864,0.015831767521239923
GP-CP-Extended,att_coverage_vs_zero,1.0,0.0
GP-CP-Extended,att_mae_vs_zero,0.006350893191144136,0.0038610695785617766
GP-CP-Extended,att_rmse_vs_zero,0.006350893191144136,0.0038610695785617766
GP-CP-Extended,tau_ci_width_avg_over_cohorts,0.8324202064597829,0.09695401523751186
GP-CP-Extended,tau_ci_width_std_over_cohorts,0.2871327644771086,0.025998513050272547
GP-CP-Extended,tau_coverage_avg_over_cohorts,0.9983333333333333,0.002357022603955164
GP-CP-Extended,tau_mae_avg_over_cohorts,0.1062087670973045,0.025091942654655933
GP-CP-Extended,tau_rmse_avg_over_cohorts,0.11503166737727266,0.02945797095752985
