model,metric,mean,std
FE+AR,CI_Width,1.2477802366931932,0.10774041209018767
FE+AR,Coverage,0.8266666666666665,0.13824294235551812
FE+AR,MAE,0.40562393376602957,0.06344990263173522
FE+AR,MAPE,627.9531174946239,435.59507103212604
FE+AR,RMSE,0.45369311044676836,0.07865970492226576
GP-CP,CI_Width,1.1014745504051375,0.042724115735829106
GP-CP,Coverage,0.9066666666666666,0.05962847939999437
GP-CP,MAE,0.3165321273077142,0.0530991246930085
GP-CP,MAPE,240.16921505751696,151.15988770600097
GP-CP,RMSE,0.36044703292426294,0.04813116615018562
GP-CP-Extended,CI_Width,1.0278037067130747,0.07038707252270035
GP-CP-Extended,Coverage,0.8666666666666666,0.23094010767585027
GP-CP-Extended,MAE,0.2934262618224025,0.0654269062170396
GP-CP-Extended,MAPE,237.04368169829849,125.921969014633
GP-CP-Extended,RMSE,0.3325820916741409,0.065634162266234
