model,effect_type,metric,mean,std
FE+AR,alpha,Bias,-1.2767564783189302e-17,4.159460322315461e-17
FE+AR,alpha,CI_Width,1.0799420337005174,0.10522100171390181
FE+AR,alpha,Coverage,1.0,0.0
FE+AR,alpha,RMSE,0.03708650398379941,0.006813322911962195
FE+AR,beta,Bias,-1.0547118733938987e-17,1.578469153782539e-17
FE+AR,beta,CI_Width,1.9030475970074323,0.18541789116237506
FE+AR,beta,Coverage,1.0,0.0
FE+AR,beta,RMSE,0.06412521752398988,0.006440466479410094
FE+AR,gamma,Bias,4.144832625267251e-18,1.6923366515001468e-17
FE+AR,gamma,CI_Width,,
FE+AR,gamma,Coverage,0.0,0.0
FE+AR,gamma,RMSE,2.097043566301405,0.21116144033620077
GP-CP,alpha,Bias,-9.71445146547011e-19,4.720896240805245e-17
GP-CP,alpha,CI_Width,0.5492144826712829,0.04812247132590816
GP-CP,alpha,Coverage,1.0,0.0
GP-CP,alpha,RMSE,0.07234987461119255,0.006325623500321569
GP-CP,beta,Bias,-6.6613381477509375e-18,2.3310736457650932e-17
GP-CP,beta,CI_Width,0.7044400886891975,0.03587557151584016
GP-CP,beta,Coverage,0.9833333333333332,0.03726779962499651
GP-CP,beta,RMSE,0.17328046466647806,0.0433924417954664
GP-CP,gamma,Bias,4.144832625267251e-18,1.6923366515001468e-17
GP-CP,gamma,CI_Width,,
GP-CP,gamma,Coverage,0.0,0.0
GP-CP,gamma,RMSE,2.097043566301405,0.21116144033620077
GP-CP-Extended,alpha,Bias,-2.4147350785597152e-17,4.491399750634317e-17
GP-CP-Extended,alpha,CI_Width,0.0927225706119977,0.003792091502160358
GP-CP-Extended,alpha,Coverage,0.93,0.08366600265340753
GP-CP-Extended,alpha,RMSE,0.024390291277023506,0.005097748935521412
GP-CP-Extended,beta,Bias,4.209595635037052e-18,2.739784472245449e-17
GP-CP-Extended,beta,CI_Width,0.15481282230817622,0.008757864923593565
GP-CP-Extended,beta,Coverage,0.9833333333333332,0.016666666666666673
GP-CP-Extended,beta,RMSE,0.0358447078165842,0.00304774262286284
GP-CP-Extended,gamma,Bias,2.3519380887293547e-17,4.917864764043064e-17
GP-CP-Extended,gamma,CI_Width,0.1446801859686019,0.04988354517953449
GP-CP-Extended,gamma,Coverage,0.994,0.013416407864998738
GP-CP-Extended,gamma,RMSE,0.025121158513833168,0.0045410016737004654
