model,metric,mean,std
FE+AR,att_avg_over_t,-0.09029976171029006,0.2620142214205141
FE+AR,att_ci_width_avg_over_t,0.6037122969560256,0.05119933246064071
FE+AR,att_coverage_vs_zero,0.8,0.4472135954999579
FE+AR,att_mae_vs_zero,0.20883791693325082,0.15597248634452468
FE+AR,att_rmse_vs_zero,0.20883791693325082,0.15597248634452468
FE+AR,tau_ci_width_avg_over_cohorts,2.763776215671745,0.2617796338042869
FE+AR,tau_ci_width_std_over_cohorts,0.0644388440460832,0.01140522308386852
FE+AR,tau_coverage_avg_over_cohorts,0.8726666666666667,0.003698723503528638
FE+AR,tau_mae_avg_over_cohorts,0.8034694578847713,0.07635895470347957
FE+AR,tau_rmse_avg_over_cohorts,0.9338761374695075,0.08764660648890983
GP-CP,att_avg_over_t,0.0025727505758198826,0.02228730309834135
GP-CP,att_ci_width_avg_over_t,0.3390980070273021,0.015472593035309465
GP-CP,att_coverage_vs_zero,1.0,0.0
GP-CP,att_mae_vs_zero,0.016087464302710415,0.01347180580658493
GP-CP,att_rmse_vs_zero,0.016087464302710415,0.01347180580658493
GP-CP,tau_ci_width_avg_over_cohorts,1.2789739611797133,0.08449820701297511
GP-CP,tau_ci_width_std_over_cohorts,0.15314087643295515,0.018458741935149712
GP-CP,tau_coverage_avg_over_cohorts,0.4126666666666667,0.01407322122172306
GP-CP,tau_mae_avg_over_cohorts,0.7779361180075103,0.06917089804318031
GP-CP,tau_rmse_avg_over_cohorts,0.9024662598326216,0.08032282995300254
GP-CP-Extended,att_avg_over_t,-0.0010250567137899019,0.007917179642827595
GP-CP-Extended,att_ci_width_avg_over_t,1.0874766205671318,1.4121154687552306
GP-CP-Extended,att_coverage_vs_zero,1.0,0.0
GP-CP-Extended,att_mae_vs_zero,0.006281355023820265,0.003830911629210568
GP-CP-Extended,att_rmse_vs_zero,0.006281355023820265,0.003830911629210568
GP-CP-Extended,tau_ci_width_avg_over_cohorts,1.715921351832657,1.8857339175297139
GP-CP-Extended,tau_ci_width_std_over_cohorts,1.816455633064478,2.5486514748050433
GP-CP-Extended,tau_coverage_avg_over_cohorts,0.9816666666666667,0.0324946576805754
GP-CP-Extended,tau_mae_avg_over_cohorts,0.08756661221027393,0.013323350663038882
GP-CP-Extended,tau_rmse_avg_over_cohorts,0.09814826837710332,0.01675060511102977
